date,basin,QObs_mm_d_obs,Q_sim_seed_666,Q_sim_seed_222,Q_sim_seed_888,Q_sim_seed_333,Q_sim_seed_111,Q_sim_seed_444,Q_sim_seed_777,Q_sim_seed_555,Q_sim_mean
1989-09-01,CAMELS_UY_10,,,,,,,,,,
1989-09-02,CAMELS_UY_10,,,,,,,,,,
1989-09-03,CAMELS_UY_10,,,,,,,,,,
1989-09-04,CAMELS_UY_10,,,,,,,,,,
1989-09-05,CAMELS_UY_10,,,,,,,,,,
1989-09-06,CAMELS_UY_10,,,,,,,,,,
1989-09-07,CAMELS_UY_10,,,,,,,,,,
1989-09-08,CAMELS_UY_10,,,,,,,,,,
1989-09-09,CAMELS_UY_10,,,,,,,,,,
1989-09-10,CAMELS_UY_10,,,,,,,,,,
1989-09-11,CAMELS_UY_10,,,,,,,,,,
1989-09-12,CAMELS_UY_10,,,,,,,,,,
1989-09-13,CAMELS_UY_10,,,,,,,,,,
1989-09-14,CAMELS_UY_10,,,,,,,,,,
1989-09-15,CAMELS_UY_10,,,,,,,,,,
1989-09-16,CAMELS_UY_10,,,,,,,,,,
1989-09-17,CAMELS_UY_10,,,,,,,,,,
1989-09-18,CAMELS_UY_10,,,,,,,,,,
1989-09-19,CAMELS_UY_10,,,,,,,,,,
1989-09-20,CAMELS_UY_10,,,,,,,,,,
1989-09-21,CAMELS_UY_10,,,,,,,,,,
1989-09-22,CAMELS_UY_10,,,,,,,,,,
1989-09-23,CAMELS_UY_10,,,,,,,,,,
1989-09-24,CAMELS_UY_10,,,,,,,,,,
1989-09-25,CAMELS_UY_10,,,,,,,,,,
1989-09-26,CAMELS_UY_10,,,,,,,,,,
1989-09-27,CAMELS_UY_10,,0.2071892,0.3963257,0.3787713,0.32833433,0.40638053,0.29333782,0.1848383,0.5780971,0.3466593
1989-09-28,CAMELS_UY_10,,0.2370522,0.41773498,0.38499498,0.33199155,0.3856989,0.29203117,0.18404412,0.64708227,0.36007878
1989-09-29,CAMELS_UY_10,,0.2426256,0.41155195,0.37385917,0.30883777,0.38835597,0.2850511,0.18297887,0.6693655,0.35782826
1989-09-30,CAMELS_UY_10,,0.27953362,0.41773736,0.36024892,0.3052441,0.38199747,0.27599669,0.1830821,0.69336945,0.3621512
1989-10-01,CAMELS_UY_10,0.09307027,0.30244637,0.40877044,0.34052134,0.2978295,0.3670993,0.25536156,0.19646358,0.6951138,0.35795075
1989-10-02,CAMELS_UY_10,0.11668515,0.29067373,0.37764,0.29675066,0.26434684,0.32092392,0.22878289,0.20917535,0.6553697,0.33045787
1989-10-03,CAMELS_UY_10,0.10332322,0.2936865,0.3589145,0.2660302,0.2694949,0.2990359,0.19128859,0.17297328,0.62604666,0.3096838
1989-10-04,CAMELS_UY_10,0.090159774,0.2990409,0.38241994,0.2076441,0.2615739,0.27664018,0.15512514,0.15837348,0.59346175,0.29178494
1989-10-05,CAMELS_UY_10,0.07284224,0.295596,0.4090222,0.17361403,0.25049746,0.26062036,0.14576232,0.16526985,0.5664296,0.28335148
1989-10-06,CAMELS_UY_10,0.06958771,0.2778802,0.39423478,0.1563685,0.24442554,0.23916554,0.13264084,0.16347706,0.53723025,0.26817784
1989-10-07,CAMELS_UY_10,0.050100565,0.24391818,0.38200164,0.121347666,0.21572459,0.20125306,0.117030025,0.15935767,0.4928639,0.24168709
1989-10-08,CAMELS_UY_10,0.040390015,0.20223641,0.35069263,0.09110248,0.1903491,0.19809711,0.10032606,0.13240421,0.4184004,0.21045105
1989-10-09,CAMELS_UY_10,0.03546858,0.19733775,0.35037875,0.081525564,0.20560026,0.20394957,0.101460695,0.12259245,0.3850627,0.20598847
1989-10-10,CAMELS_UY_10,0.028906703,0.16880941,0.3461162,0.05753386,0.1788249,0.18987763,0.09808898,0.13670433,0.34668624,0.19033019
1989-10-11,CAMELS_UY_10,0.022662282,0.114786625,0.30850017,0.03027594,0.1771822,0.119386315,0.081856966,0.11951649,0.3260225,0.1596909
1989-10-12,CAMELS_UY_10,0.015743256,0.03889692,0.24202311,0.0052011013,0.16957045,0.0899843,0.050822735,0.074018955,0.2905922,0.12013872
1989-10-13,CAMELS_UY_10,0.012819529,-0.006712079,0.21266615,-0.04979396,0.12978172,0.14128065,0.03773713,0.064180255,0.21262479,0.09272058
1989-10-14,CAMELS_UY_10,0.010292649,0.017665386,0.26107514,-0.0489527,0.14359248,0.18642902,0.07041919,0.08328915,0.19257307,0.11326134
1989-10-15,CAMELS_UY_10,0.008255243,0.016162157,0.27964628,-0.047675848,0.13046241,0.17897618,0.070717335,0.09953439,0.19319856,0.11512768
1989-10-16,CAMELS_UY_10,0.0073821545,0.013174295,0.2555722,-0.035348654,0.12218857,0.17059183,0.082659245,0.09893286,0.20296752,0.113842234
1989-10-17,CAMELS_UY_10,0.007289529,0.020785093,0.2770368,-0.04099691,0.11374688,0.16315114,0.07327831,0.1034534,0.23131084,0.11772069
1989-10-18,CAMELS_UY_10,0.007289529,0.020583749,0.27087557,-0.043328047,0.10964239,0.15552568,0.06650913,0.11424744,0.22559237,0.114956036
1989-10-19,CAMELS_UY_10,0.007289529,0.014605641,0.26622713,-0.056398034,0.0910635,0.15668213,0.05928433,0.119224906,0.20010006,0.10634871
1989-10-20,CAMELS_UY_10,0.007196903,0.03500688,0.29017496,-0.05554998,0.09614706,0.16519809,0.062569976,0.12846518,0.18211365,0.113015726
1989-10-21,CAMELS_UY_10,0.0060327053,0.034011245,0.31145442,-0.048083782,0.10371101,0.16721833,0.059726954,0.14790022,0.1779778,0.119239524
1989-10-22,CAMELS_UY_10,0.005913615,0.061209917,0.29188573,-0.042506576,0.11042762,0.17105484,0.057926297,0.12677252,0.17643726,0.11915095
1989-10-23,CAMELS_UY_10,0.005913615,0.07399535,0.2888863,-0.04623425,0.09896624,0.16206455,0.0532403,0.12819564,0.18587565,0.118123725
1989-10-24,CAMELS_UY_10,0.005913615,0.045205235,0.2652229,-0.055898547,0.024168849,0.07952607,0.05652821,0.119599104,0.16421461,0.087320805
1989-10-25,CAMELS_UY_10,0.005913615,-0.023993611,0.18013418,0.00914979,-0.02668655,-0.044422626,0.06903827,0.10637963,0.19457316,0.05802153
1989-10-26,CAMELS_UY_10,0.005913615,-0.05675125,0.1328106,0.03140676,-0.12954938,-0.008733869,0.035029173,0.043985963,0.13703859,0.023154572
1989-10-27,CAMELS_UY_10,0.005913615,-0.0059918165,0.23304105,-0.04218054,-0.023635626,0.12607968,0.06922972,0.009907484,0.16603708,0.06656088
1989-10-28,CAMELS_UY_10,0.005913615,0.072417974,0.30010605,0.0014328957,0.09704256,0.20001006,0.1289792,0.07612395,0.27429974,0.14380156
1989-10-29,CAMELS_UY_10,,0.07996714,0.34484935,0.054433107,0.12662101,0.20617962,0.12880647,0.09844136,0.33006322,0.17117016
1989-10-30,CAMELS_UY_10,0.005913615,0.088240504,0.35427165,0.10887182,0.14414,0.17867148,0.13573337,0.13069224,0.39233637,0.19161968
1989-10-31,CAMELS_UY_10,0.005794525,0.07142019,0.33604896,0.10618842,0.1553278,0.18697286,0.10915911,0.09836757,0.37898874,0.1803092
1989-11-01,CAMELS_UY_10,0.0042202473,0.08407128,0.35291255,0.09190881,0.15934813,0.19061685,0.11086559,0.10425079,0.37303734,0.18337642
1989-11-02,CAMELS_UY_10,0.0041276217,0.043430567,0.30898654,0.12043762,0.11649048,0.085452914,0.1396401,0.10027039,0.38137233,0.16201012
1989-11-03,CAMELS_UY_10,0.005066991,-0.010428071,0.2921028,0.12194443,0.06438291,0.04423666,0.13068569,0.08390975,0.38318205,0.13875203
1989-11-04,CAMELS_UY_10,0.005847454,-0.013753891,0.2869302,0.0014051199,0.038947225,0.14589632,0.0755682,0.03510356,0.29517484,0.108158946
1989-11-05,CAMELS_UY_10,0.005913615,0.05070281,0.33061552,0.02233851,0.14879131,0.17515993,0.12430227,0.087234735,0.3758092,0.16436929
1989-11-06,CAMELS_UY_10,0.0058606863,0.038421154,0.33892274,0.05813265,0.14938188,0.1889956,0.1155473,0.08545947,0.39158607,0.17080586
1989-11-07,CAMELS_UY_10,0.0051859617,0.04645443,0.3567617,0.057639003,0.14606369,0.17615235,0.10929263,0.10447848,0.39838696,0.17440365
1989-11-08,CAMELS_UY_10,0.0050537586,0.028400421,0.33452082,0.05734086,0.12186444,0.14818895,0.10525966,0.11685181,0.38432693,0.16209424
1989-11-09,CAMELS_UY_10,0.004431963,0.015610576,0.31067896,0.019054055,0.10123074,0.15481508,0.07307243,0.09297824,0.31771314,0.13564415
1989-11-10,CAMELS_UY_10,0.0040614605,0.040625453,0.32271647,0.0056893826,0.10901809,0.16683352,0.07632458,0.09797573,0.285388,0.1380714
1989-11-11,CAMELS_UY_10,0.0037837029,0.005737543,0.28132033,0.052565932,0.103381515,0.08687341,0.12913573,0.10757089,0.30396008,0.13381818
1989-11-12,CAMELS_UY_10,0.004021764,-0.056480527,0.21270943,0.116077065,0.07985413,0.015094042,0.1228472,0.05512166,0.32233012,0.10844414
1989-11-13,CAMELS_UY_10,0.0040482283,-0.07831013,0.23324299,0.040001154,0.037486434,0.09633994,0.074030876,0.040735006,0.32899082,0.096564636
1989-11-14,CAMELS_UY_10,0.0040482283,-0.022938132,0.22144699,-0.015747547,0.099538565,0.16143441,0.09532118,0.031435728,0.30692816,0.10967742
1989-11-15,CAMELS_UY_10,0.0040085316,0.01564169,0.28023744,0.0060759783,0.13951564,0.19591618,0.12718594,0.06862986,0.37625945,0.15118277
1989-11-16,CAMELS_UY_10,0.0034661293,0.039725542,0.31876445,0.071139574,0.1847961,0.19875777,0.13524508,0.08420503,0.44842076,0.18513179
1989-11-17,CAMELS_UY_10,0.0029501915,0.03827858,0.33194208,0.090406775,0.1744144,0.19340622,0.124613404,0.08832288,0.4572959,0.18733503
1989-11-18,CAMELS_UY_10,0.0028972626,0.043521762,0.3560692,0.07519722,0.14854586,0.18566859,0.10573232,0.094638705,0.43751967,0.18086167
1989-11-19,CAMELS_UY_10,0.0028972626,0.03554368,0.3626114,0.05982876,0.116033316,0.15099323,0.10042322,0.101848245,0.42373085,0.16887659
1989-11-20,CAMELS_UY_10,0.0028840303,0.028086185,0.33407223,0.06814051,0.11347139,0.13437486,0.10197854,0.10255611,0.39858043,0.16015753
1989-11-21,CAMELS_UY_10,0.0026724339,0.00969851,0.31236517,0.006018281,0.09125292,0.15539539,0.053509355,0.07995844,0.32151914,0.12871465
