date,basin,QObs_mm_d_obs,Q_sim_seed_444,Q_sim_seed_333,Q_sim_seed_222,Q_sim_seed_555,Q_sim_seed_777,Q_sim_seed_888,Q_sim_seed_666,Q_sim_seed_111,Q_sim_mean
1989-10-01,CAMELS_UY_10,0.09307027,0.21217799,0.44117808,0.10380757,0.33478725,0.35273027,0.41164422,0.17987227,0.4038074,0.30500063
1989-10-02,CAMELS_UY_10,0.11668515,0.2095133,0.42135096,0.08717084,0.31606293,0.2950412,0.38564968,0.14666927,0.37583876,0.27966213
1989-10-03,CAMELS_UY_10,0.10332322,0.23125982,0.4185394,0.056520343,0.27975845,0.2901802,0.36904716,0.16653466,0.34876978,0.27007622
1989-10-04,CAMELS_UY_10,0.090159774,0.17852294,0.36683333,0.03901279,0.27293193,0.25002062,0.34944522,0.13858998,0.30309415,0.23730637
1989-10-05,CAMELS_UY_10,0.07284224,0.18856668,0.32604504,0.030912995,0.27963507,0.22886968,0.33313572,0.12386215,0.28643274,0.22468251
1989-10-06,CAMELS_UY_10,0.06958771,0.1861893,0.2944752,0.032271504,0.27279532,0.20430338,0.31375372,0.10834789,0.26473045,0.20960835
1989-10-07,CAMELS_UY_10,0.050100565,0.17784905,0.25386178,0.022455692,0.2467053,0.1668086,0.28615177,0.08180487,0.23443449,0.18375894
1989-10-08,CAMELS_UY_10,0.040390015,0.17754221,0.21307242,0.01460433,0.23119187,0.17356181,0.28277373,0.06983459,0.2156744,0.17228192
1989-10-09,CAMELS_UY_10,0.03546858,0.17258894,0.18818331,0.0051748753,0.22637773,0.18072498,0.27875328,0.07955778,0.21372688,0.16813597
1989-10-10,CAMELS_UY_10,0.028906703,0.17219257,0.15980506,0.008427978,0.23215675,0.16391087,0.2758131,0.05475557,0.20443237,0.15893678
1989-10-11,CAMELS_UY_10,0.022662282,0.13922179,0.12522447,0.0011228323,0.17979622,0.090610266,0.22445619,0.028007388,0.15475535,0.11789931
1989-10-12,CAMELS_UY_10,0.015743256,0.13567865,0.085270286,-0.025071502,0.12524033,0.09110367,0.19974768,0.003350854,0.120892525,0.09202656
