date,basin,QObs_mm_d_obs,Q_sim_seed_888,Q_sim_seed_555,Q_sim_seed_444,Q_sim_seed_111,Q_sim_seed_666,Q_sim_seed_333,Q_sim_seed_222,Q_sim_seed_777,Q_sim_mean
1989-10-01,CAMELS_UY_10,0.09307027,0.47502744,0.13832664,0.55147004,0.8422202,1.241553,0.3875872,0.6178194,0.41564822,0.5837065
1989-10-02,CAMELS_UY_10,0.11668515,0.39599073,0.13016558,0.48481643,0.76297414,1.1748604,0.3000914,0.520931,0.2884035,0.50727916
1989-10-03,CAMELS_UY_10,0.10332322,0.34520876,0.016125798,0.4236729,0.6921525,1.0987154,0.28207433,0.45863295,0.18822324,0.43810076
1989-10-04,CAMELS_UY_10,0.090159774,0.3119346,-0.037545204,0.39364064,0.63174736,0.9945232,0.24673605,0.44039118,0.038163543,0.37744892
1989-10-05,CAMELS_UY_10,0.07284224,0.2780205,-0.04938984,0.37888718,0.5860114,0.89772207,0.23335803,0.4152912,-0.017167926,0.34034157
1989-10-06,CAMELS_UY_10,0.06958771,0.24613106,-0.06526625,0.3420713,0.53165853,0.8184942,0.20056093,0.38685012,-0.0860368,0.2968079
1989-10-07,CAMELS_UY_10,0.050100565,0.17405665,-0.11326814,0.29649103,0.46872318,0.7023076,0.16078508,0.31142926,-0.13194025,0.23357303
1989-10-08,CAMELS_UY_10,0.040390015,0.14139616,-0.12684667,0.260316,0.43343437,0.5949377,0.16160464,0.28326535,-0.15327346,0.19935426
1989-10-09,CAMELS_UY_10,0.03546858,0.15639806,-0.13060713,0.26163876,0.43949282,0.5268872,0.18376887,0.29723763,-0.15753937,0.1971596
1989-10-10,CAMELS_UY_10,0.028906703,0.13216019,-0.09581542,0.25519323,0.42324483,0.4596094,0.17682314,0.28210378,-0.16379309,0.18369076
1989-10-11,CAMELS_UY_10,0.022662282,0.037112594,-0.19164026,0.1736486,0.35991216,0.38231862,0.07705903,0.1751523,-0.24421144,0.09616895
1989-10-12,CAMELS_UY_10,0.015743256,-0.03241861,-0.21434128,0.14322913,0.358083,0.2928344,0.0717268,0.12971473,-0.2182244,0.06632547
1989-10-13,CAMELS_UY_10,0.012819529,-0.030156255,-0.10358071,0.15387297,0.37096775,0.23428154,0.082724094,0.19649565,-0.18416393,0.09005514
1989-10-14,CAMELS_UY_10,0.010292649,0.041371346,0.010473251,0.1708901,0.39681685,0.24582136,0.1389786,0.27564514,-0.13660026,0.14292455
1989-10-15,CAMELS_UY_10,0.008255243,0.060905457,0.2960496,0.16667008,0.38905537,0.24844992,0.12984598,0.29229116,-0.13704133,0.18077828
1989-10-16,CAMELS_UY_10,0.0073821545,0.07069063,-0.026623249,0.14771497,0.37373352,0.2692641,0.13004124,0.26676798,-0.16105056,0.13381733
