date,basin,QObs_mm_d_obs,Q_sim_seed_777,Q_sim_seed_666,Q_sim_seed_222,Q_sim_seed_444,Q_sim_seed_555,Q_sim_seed_888,Q_sim_seed_333,Q_sim_seed_111,Q_sim_mean
1989-10-01,CAMELS_UY_10,0.09307027,0.6150534,0.40634835,0.80636424,0.6814081,0.35264075,0.505304,0.58202124,0.8807992,0.6037424
1989-10-02,CAMELS_UY_10,0.11668515,0.50975585,0.36705554,0.7110086,0.6310771,0.29257965,0.44874573,0.58321667,0.7844987,0.54099226
1989-10-03,CAMELS_UY_10,0.10332322,0.4865631,0.3493855,0.65662193,0.5855094,0.27089632,0.44840133,0.5117085,0.7011227,0.5012761
1989-10-04,CAMELS_UY_10,0.090159774,0.47410285,0.3341794,0.61169016,0.58055055,0.25042105,0.45242214,0.4799106,0.6367677,0.47750556
1989-10-05,CAMELS_UY_10,0.07284224,0.43272698,0.2997055,0.54130936,0.5558263,0.21376932,0.43290782,0.45017207,0.58232296,0.43859255
1989-10-06,CAMELS_UY_10,0.06958771,0.3885107,0.27898932,0.48056543,0.51504636,0.18072605,0.41586423,0.41029274,0.5158547,0.3982312
1989-10-07,CAMELS_UY_10,0.050100565,0.33471394,0.24522078,0.42057335,0.47161913,0.14243746,0.39365947,0.3329904,0.43453503,0.34696868
1989-10-08,CAMELS_UY_10,0.040390015,0.3324051,0.23978865,0.3692075,0.44283187,0.11702168,0.3772235,0.282619,0.4028659,0.3204954
1989-10-09,CAMELS_UY_10,0.03546858,0.3512298,0.24416208,0.3477471,0.4268769,0.11835194,0.39597237,0.26964438,0.40067303,0.31933218
1989-10-10,CAMELS_UY_10,0.028906703,0.31987345,0.23155236,0.32132614,0.41815865,0.09749067,0.38098896,0.27734017,0.38229823,0.3036286
1989-10-11,CAMELS_UY_10,0.022662282,0.24265552,0.19102812,0.2926979,0.35251856,0.062433362,0.38301373,0.15595436,0.27185416,0.24401946
1989-10-12,CAMELS_UY_10,0.015743256,0.2220577,0.17870772,0.2757764,0.29473424,0.01650393,0.3597046,0.020464182,0.18327916,0.19390349
1989-10-13,CAMELS_UY_10,0.012819529,0.26452804,0.18192601,0.22220635,0.27520204,0.016502738,0.30894887,0.045829892,0.23239827,0.19344278
1989-10-14,CAMELS_UY_10,0.010292649,0.30313408,0.20062864,0.202425,0.27863395,0.029881835,0.29482543,0.10378671,0.29192746,0.21315539
1989-10-15,CAMELS_UY_10,0.008255243,0.27285373,0.17014813,0.18669808,0.28938508,0.011325955,0.28517437,0.13557935,0.29040504,0.20519622
1989-10-16,CAMELS_UY_10,0.0073821545,0.26984715,0.16243756,0.1830082,0.29925573,-0.0024802685,0.2785095,0.15069675,0.29673815,0.2047516
1989-10-17,CAMELS_UY_10,0.007289529,0.25601923,0.1540159,0.20399833,0.29514623,-0.0023286343,0.28823698,0.1509428,0.28075457,0.20334817
1989-10-18,CAMELS_UY_10,0.007289529,0.23937154,0.1500696,0.2006625,0.2877295,-0.013754606,0.28217244,0.14638865,0.26782835,0.1950585
1989-10-19,CAMELS_UY_10,0.007289529,0.2222321,0.14490902,0.1864748,0.28068888,-0.03269577,0.2596811,0.15580356,0.26938605,0.18580997
1989-10-20,CAMELS_UY_10,0.007196903,0.21811485,0.14626718,0.18258524,0.28430176,-0.034005523,0.25285745,0.16882789,0.27294004,0.18648611
1989-10-21,CAMELS_UY_10,0.0060327053,0.21972024,0.15082788,0.19272923,0.29527128,-0.03174424,0.25535238,0.17013276,0.2740872,0.19079709
1989-10-22,CAMELS_UY_10,0.005913615,0.21289122,0.12985766,0.18482411,0.33552468,-0.04083228,0.25947917,0.19035327,0.2809447,0.19413032
1989-10-23,CAMELS_UY_10,0.005913615,0.18948448,0.11831677,0.1805321,0.3473109,-0.05432129,0.24800372,0.20637918,0.2823037,0.1897512
1989-10-24,CAMELS_UY_10,0.005913615,0.15742409,0.062045693,0.13293421,0.34137106,-0.103933334,0.20443237,0.13561654,0.24706554,0.14711952
1989-10-25,CAMELS_UY_10,0.005913615,0.11158681,0.05284822,0.17934299,0.3094895,-0.114542365,0.22406697,-0.0044727325,0.13313675,0.111432016
1989-10-26,CAMELS_UY_10,0.005913615,0.23553419,0.1474179,0.19778764,0.31448185,-0.06543231,0.2704519,-0.013856888,0.17165601,0.15725504
1989-10-27,CAMELS_UY_10,0.005913615,0.3126999,0.23698175,0.28679848,0.43999135,0.021103144,0.3210566,0.14200497,0.28285623,0.25543654
1989-10-28,CAMELS_UY_10,0.005913615,0.33447158,0.26940846,0.28976953,0.42110658,0.09116197,0.35520232,0.2715062,0.38403952,0.30208325
1989-10-29,CAMELS_UY_10,,0.28551435,0.23900819,0.28337967,0.4703759,0.07748079,0.33700264,0.345497,0.40673923,0.30562472
1989-10-30,CAMELS_UY_10,0.005913615,0.23275232,0.21525884,0.2884184,0.4269812,0.08231664,0.35118055,0.33996332,0.3701836,0.28838187
1989-10-31,CAMELS_UY_10,0.005794525,0.24873328,0.22360277,0.29673612,0.44482493,0.08004427,0.37884998,0.3215208,0.3580557,0.29404598
1989-11-01,CAMELS_UY_10,0.0042202473,0.25895166,0.22580469,0.3075298,0.45167315,0.080119014,0.4043293,0.32082152,0.36076868,0.30124974
