date,basin,QObs_mm_d_obs,Q_sim_seed_444,Q_sim_seed_777,Q_sim_seed_666,Q_sim_seed_333,Q_sim_seed_111,Q_sim_seed_888,Q_sim_seed_222,Q_sim_seed_555,Q_sim_mean
1989-10-01,CAMELS_UY_10,0.09307027,0.2413814,0.6353855,0.19802976,0.15605903,0.45769942,0.40281677,0.6243104,0.8091115,0.44059926
1989-10-02,CAMELS_UY_10,0.11668515,0.19663525,0.61393774,0.16564977,0.109582186,0.41513848,0.3897915,0.6186754,0.7548591,0.40803367
1989-10-03,CAMELS_UY_10,0.10332322,0.16069782,0.53153133,0.18341374,0.09419155,0.35974562,0.41901445,0.5909995,0.6925225,0.37901455
1989-10-04,CAMELS_UY_10,0.090159774,0.14963913,0.4582523,0.16880691,0.107881665,0.33203268,0.423311,0.5597278,0.6327806,0.354054
1989-10-05,CAMELS_UY_10,0.07284224,0.141168,0.40065932,0.14895654,0.10666549,0.31347215,0.39166927,0.54008436,0.5843445,0.32837743
1989-10-06,CAMELS_UY_10,0.06958771,0.12665701,0.34596038,0.14009476,0.089084744,0.28684914,0.38458097,0.5158336,0.5399592,0.3036275
1989-10-07,CAMELS_UY_10,0.050100565,0.10245705,0.283203,0.12503171,0.05836284,0.24633539,0.32267296,0.49479795,0.49943936,0.26653755
1989-10-08,CAMELS_UY_10,0.040390015,0.08931005,0.23575091,0.12899876,0.063995,0.22060692,0.31784964,0.45256436,0.45646012,0.24569197
1989-10-09,CAMELS_UY_10,0.03546858,0.09385812,0.20743763,0.13333654,0.082681656,0.21852708,0.35304248,0.41275203,0.42953086,0.2413958
1989-10-10,CAMELS_UY_10,0.028906703,0.07837534,0.17559016,0.11801529,0.07682741,0.20537627,0.34404016,0.39075112,0.3988315,0.2234759
1989-10-11,CAMELS_UY_10,0.022662282,0.04193628,0.103165865,0.096992135,0.004066229,0.14251125,0.31463945,0.34920406,0.38634002,0.17985691
1989-10-12,CAMELS_UY_10,0.015743256,0.027382255,0.05923009,0.104319096,-0.024966002,0.094014525,0.28741312,0.28327417,0.39126933,0.15274207
