date,basin,QObs_mm_d_obs,Q_sim_seed_888,Q_sim_seed_333,Q_sim_seed_666,Q_sim_seed_555,Q_sim_seed_222,Q_sim_seed_444,Q_sim_seed_777,Q_sim_seed_111,Q_sim_mean
1989-10-01,CAMELS_UY_10,0.09307027,0.4643917,0.3439709,0.42230582,0.5997031,0.4153117,0.48817432,0.6793549,0.38451028,0.47471535
1989-10-02,CAMELS_UY_10,0.11668515,0.43653607,0.30176103,0.37388146,0.53633904,0.40236402,0.42455482,0.6627525,0.3165419,0.43184134
1989-10-03,CAMELS_UY_10,0.10332322,0.38605154,0.28670394,0.324,0.4876001,0.35519576,0.33928418,0.6168768,0.2466166,0.3802911
1989-10-04,CAMELS_UY_10,0.090159774,0.37226117,0.2769661,0.28939486,0.4340297,0.34326458,0.30906582,0.5886328,0.23682594,0.35630512
1989-10-05,CAMELS_UY_10,0.07284224,0.35236812,0.26208687,0.25758576,0.3750124,0.32756853,0.28248823,0.5707457,0.20348608,0.32891768
1989-10-06,CAMELS_UY_10,0.06958771,0.33102155,0.2456454,0.23154855,0.3224908,0.31092656,0.24910665,0.54767346,0.16165435,0.30000842
1989-10-07,CAMELS_UY_10,0.050100565,0.30452693,0.22716987,0.20158327,0.27439523,0.2929933,0.2052952,0.5193629,0.12053156,0.2682323
1989-10-08,CAMELS_UY_10,0.040390015,0.26217377,0.23779988,0.16596806,0.20055509,0.24769628,0.1680305,0.46369195,0.06908512,0.22687508
1989-10-09,CAMELS_UY_10,0.03546858,0.24859679,0.23647404,0.16258597,0.16103911,0.23577595,0.17539549,0.44314122,0.06905103,0.21650745
1989-10-10,CAMELS_UY_10,0.028906703,0.24190724,0.23849118,0.152125,0.13880813,0.23796809,0.1901865,0.43319738,0.051934242,0.21057722
1989-10-11,CAMELS_UY_10,0.022662282,0.21462631,0.1918714,0.12596333,0.12603366,0.24970567,0.14808965,0.43769717,0.03628838,0.19128445
1989-10-12,CAMELS_UY_10,0.015743256,0.14681876,0.18005443,0.036152244,0.047631145,0.18954432,0.06419468,0.37353528,-0.02518487,0.12659325
1989-10-13,CAMELS_UY_10,0.012819529,0.14995539,0.21038556,0.045294523,0.029596329,0.14901996,0.07019746,0.31942618,-0.063461185,0.11380178
1989-10-14,CAMELS_UY_10,0.010292649,0.16066957,0.20309699,0.097957134,0.006708145,0.1421169,0.10459721,0.30966544,-0.054421544,0.12129873
1989-10-15,CAMELS_UY_10,0.008255243,0.17093825,0.20578134,0.12855041,0.053102374,0.16764629,0.15111423,0.3344581,-0.045328617,0.1457828
1989-10-16,CAMELS_UY_10,0.0073821545,0.15097451,0.21775556,0.10679674,0.054174185,0.14296806,0.14421046,0.33218706,-0.06603682,0.13537872
1989-10-17,CAMELS_UY_10,0.007289529,0.15141141,0.22187555,0.110227704,0.07030749,0.14835703,0.14959991,0.34659028,-0.06228316,0.14201078
1989-10-18,CAMELS_UY_10,0.007289529,0.15001881,0.21693575,0.108079076,0.07008028,0.14825118,0.13131058,0.3477565,-0.06653583,0.13823704
1989-10-19,CAMELS_UY_10,0.007289529,0.13553202,0.22613144,0.10037351,0.049286723,0.13369477,0.12408328,0.33284235,-0.09327018,0.12608424
1989-10-20,CAMELS_UY_10,0.007196903,0.12862754,0.20208621,0.11002588,0.039964676,0.13206494,0.114557505,0.3293445,-0.10013068,0.11956757
1989-10-21,CAMELS_UY_10,0.0060327053,0.1269139,0.20859802,0.11220658,0.024566889,0.12507486,0.1091038,0.32120073,-0.10494256,0.11534028
1989-10-22,CAMELS_UY_10,0.005913615,0.11837649,0.20853949,0.09982991,0.04587257,0.114340544,0.10068619,0.30762684,-0.08913922,0.1132666
1989-10-23,CAMELS_UY_10,0.005913615,0.119087815,0.19832158,0.08212054,0.039131045,0.10931897,0.09040785,0.3031013,-0.085875034,0.10695176
1989-10-24,CAMELS_UY_10,0.005913615,0.1197418,0.14576364,0.0811702,0.013778567,0.10485816,0.054139495,0.30323994,-0.112793565,0.08873728
1989-10-25,CAMELS_UY_10,0.005913615,0.12121165,0.07027829,0.04600227,-0.01244843,0.113732934,-0.0077118874,0.3135593,-0.13224423,0.064047486
1989-10-26,CAMELS_UY_10,0.005913615,0.12415993,0.17829204,0.0465703,0.023097038,0.098138094,0.007034898,0.2890408,-0.17854536,0.07347347
1989-10-27,CAMELS_UY_10,0.005913615,0.224141,0.23976946,0.15926993,0.07125163,0.15893781,0.07088864,0.3013848,-0.10426128,0.14017275
1989-10-28,CAMELS_UY_10,0.005913615,0.2835877,0.28640187,0.20933902,0.15483344,0.18500221,0.163571,0.32105267,0.016943336,0.2025914
1989-10-29,CAMELS_UY_10,,0.2981372,0.25755835,0.16736555,0.16085017,0.18891609,0.19390595,0.3365798,0.015111923,0.20230313
1989-10-30,CAMELS_UY_10,0.005913615,0.3109734,0.23411608,0.15381193,0.21133578,0.20472276,0.18095541,0.35871994,0.019887924,0.2093154
1989-10-31,CAMELS_UY_10,0.005794525,0.27332032,0.24562812,0.119648576,0.20015728,0.18334293,0.14383483,0.3413669,-0.009205341,0.1872617
1989-11-01,CAMELS_UY_10,0.0042202473,0.28242433,0.23610067,0.09868586,0.2008518,0.19294453,0.14476919,0.3473872,0.034905314,0.19225861
1989-11-02,CAMELS_UY_10,0.0041276217,0.27181387,0.18249881,0.07228184,0.16034365,0.15596712,0.13341343,0.35473323,0.03880775,0.17123246
1989-11-03,CAMELS_UY_10,0.005066991,0.281487,0.13709211,0.06334579,0.1746707,0.18880928,0.12469125,0.3880087,-0.05104637,0.1633823
1989-11-04,CAMELS_UY_10,0.005847454,0.28440535,0.27627945,0.075248,0.18930066,0.16094196,0.13186598,0.34107232,-0.042112947,0.1771251
1989-11-05,CAMELS_UY_10,0.005913615,0.34613502,0.23602426,0.1269573,0.23847628,0.22034979,0.15186918,0.35762763,0.05285859,0.21628726
1989-11-06,CAMELS_UY_10,0.0058606863,0.33543026,0.24949908,0.11524618,0.24164331,0.20895076,0.15256548,0.3635316,0.043020606,0.21373591
1989-11-07,CAMELS_UY_10,0.0051859617,0.35200775,0.23371077,0.10528958,0.24770081,0.21686256,0.15876913,0.37037587,0.061195374,0.21823898
1989-11-08,CAMELS_UY_10,0.0050537586,0.32535195,0.20557332,0.077287555,0.22824812,0.20133626,0.12635303,0.3546995,0.0193398,0.19227369
1989-11-09,CAMELS_UY_10,0.004431963,0.26649237,0.20877123,0.03578341,0.17492533,0.1582905,0.097656965,0.3122393,-0.047849536,0.1507887
1989-11-10,CAMELS_UY_10,0.0040614605,0.25279033,0.19606137,0.025207639,0.16133738,0.1624732,0.07833755,0.29628766,-0.027491331,0.14312547
1989-11-11,CAMELS_UY_10,0.0037837029,0.2511077,0.14852011,0.019640446,0.15204751,0.15456438,0.07572472,0.29700828,-0.014708996,0.13548802
1989-11-12,CAMELS_UY_10,0.004021764,0.23663998,0.13977063,-0.01890552,0.13223481,0.119126916,0.061648607,0.3042798,-0.07245755,0.11279221
1989-11-13,CAMELS_UY_10,0.0040482283,0.32380223,0.22150671,0.10275996,0.23119307,0.21388412,0.12253988,0.33605504,-0.06531465,0.1858033
1989-11-14,CAMELS_UY_10,0.0040482283,0.36183226,0.3080201,0.15962386,0.22644556,0.21380949,0.14055419,0.29905152,0.008613944,0.21474387
1989-11-15,CAMELS_UY_10,0.0040085316,0.38713348,0.2877822,0.16538882,0.24422932,0.22828245,0.21401787,0.3133663,0.053581,0.23672268
1989-11-16,CAMELS_UY_10,0.0034661293,0.40465605,0.28546715,0.18935025,0.30879414,0.26196814,0.23328888,0.34674144,0.06437445,0.26183006
1989-11-17,CAMELS_UY_10,0.0029501915,0.40895844,0.27151418,0.1482979,0.32134938,0.24934196,0.20921624,0.34923208,0.06766474,0.25319687
1989-11-18,CAMELS_UY_10,0.0028972626,0.3925327,0.24760497,0.08602989,0.29978836,0.21881163,0.18918097,0.33875167,0.063330054,0.22950378
1989-11-19,CAMELS_UY_10,0.0028972626,0.37429523,0.21966445,0.06501341,0.2905575,0.21420562,0.17382133,0.32880235,0.043589234,0.21374364
1989-11-20,CAMELS_UY_10,0.0028840303,0.34419763,0.18062365,0.03184831,0.29314983,0.20153785,0.12055969,0.31446826,-0.001648426,0.1855921
