date,basin,QObs_mm_d_obs,Q_sim_seed_111,Q_sim_seed_444,Q_sim_seed_555,Q_sim_seed_666,Q_sim_seed_777,Q_sim_seed_888,Q_sim_seed_333,Q_sim_seed_222,Q_sim_mean
1989-10-01,CAMELS_UY_10,0.09307027,0.3330258,0.31796658,0.2994417,0.3548082,0.55222833,0.72579664,0.30697787,0.6161149,0.43829498
1989-10-02,CAMELS_UY_10,0.11668515,0.2941898,0.2970854,0.29245603,0.2829864,0.51843214,0.71262753,0.28229272,0.57279646,0.40660828
1989-10-03,CAMELS_UY_10,0.10332322,0.23679519,0.27841902,0.25934207,0.2657361,0.46637583,0.72251236,0.287292,0.57521415,0.38646084
1989-10-04,CAMELS_UY_10,0.090159774,0.18323886,0.26692426,0.23438215,0.21787512,0.40821183,0.69378114,0.26592386,0.5645685,0.3543632
1989-10-05,CAMELS_UY_10,0.07284224,0.15230596,0.25127375,0.21849751,0.18046725,0.3590417,0.66797173,0.25077105,0.5470035,0.32841656
1989-10-06,CAMELS_UY_10,0.06958771,0.124708176,0.23532772,0.2021873,0.1495403,0.3247782,0.6600902,0.23693705,0.5347663,0.3085419
1989-10-07,CAMELS_UY_10,0.050100565,0.0973444,0.21792316,0.18210399,0.11514449,0.2874149,0.64407957,0.20891905,0.52121735,0.28426838
1989-10-08,CAMELS_UY_10,0.040390015,0.06444228,0.1968087,0.16703892,0.09953952,0.2529043,0.611409,0.21304214,0.50738084,0.26407072
1989-10-09,CAMELS_UY_10,0.03546858,0.04485345,0.19630218,0.15330744,0.09103334,0.23325229,0.59822285,0.214939,0.51351535,0.25567824
1989-10-10,CAMELS_UY_10,0.028906703,0.03856206,0.19838691,0.16090536,0.067928195,0.22072554,0.5653895,0.20230651,0.49729204,0.24393702
1989-10-11,CAMELS_UY_10,0.022662282,0.02038765,0.18160975,0.13184726,0.04216194,0.19755983,0.5992744,0.15352583,0.4925151,0.22736022
1989-10-12,CAMELS_UY_10,0.015743256,-0.04553187,0.12833035,0.084159136,0.019839644,0.16113615,0.5767472,0.13009953,0.4723345,0.19088933
1989-10-13,CAMELS_UY_10,0.012819529,-0.041998744,0.117458105,0.07935417,0.0005146265,0.1444596,0.4901358,0.13382196,0.44839036,0.17151698
1989-10-14,CAMELS_UY_10,0.010292649,-0.016575336,0.13581479,0.08848512,0.01639533,0.16779184,0.47596192,0.15839934,0.42679286,0.18163323
1989-10-15,CAMELS_UY_10,0.008255243,-0.004018545,0.1504426,0.09972882,0.012915373,0.17724705,0.48152256,0.15547287,0.4123937,0.18571305
1989-10-16,CAMELS_UY_10,0.0073821545,-0.0076647997,0.14737916,0.11369729,0.033234596,0.18083763,0.47547185,0.1718868,0.46794856,0.19784889
1989-10-17,CAMELS_UY_10,0.007289529,-0.013473749,0.15250206,0.10737264,0.016420126,0.17306423,0.494743,0.16328907,0.46102536,0.19436784
