date,basin,QObs_mm_d_obs,Q_sim_seed_888,Q_sim_seed_333,Q_sim_seed_444,Q_sim_seed_666,Q_sim_seed_555,Q_sim_seed_111,Q_sim_seed_222,Q_sim_seed_777,Q_sim_mean
1989-10-01,CAMELS_UY_10,0.09307027,0.4513911,0.098683834,0.5259476,0.74493074,0.65271896,0.5543276,0.3525349,0.31889617,0.46242887
1989-10-02,CAMELS_UY_10,0.11668515,0.4153731,0.07186973,0.4964329,0.62230295,0.62186664,0.49969256,0.32408237,0.3231126,0.42184162
1989-10-03,CAMELS_UY_10,0.10332322,0.3616439,0.09191322,0.4612825,0.5214735,0.57639265,0.46886218,0.3256197,0.29105437,0.38728023
1989-10-04,CAMELS_UY_10,0.090159774,0.3004539,0.08379054,0.44654942,0.42049372,0.55230176,0.38619995,0.3043195,0.25118864,0.34316218
1989-10-05,CAMELS_UY_10,0.07284224,0.24818134,0.07064974,0.4242401,0.32660508,0.52786887,0.38125896,0.2867247,0.23570561,0.3126543
1989-10-06,CAMELS_UY_10,0.06958771,0.19991422,0.061136484,0.4002452,0.24700165,0.4900589,0.36137927,0.27340078,0.23379779,0.28336677
1989-10-07,CAMELS_UY_10,0.050100565,0.15545225,0.034887195,0.3659984,0.17551589,0.4372847,0.38082576,0.24751699,0.2290088,0.25331125
1989-10-08,CAMELS_UY_10,0.040390015,0.09904504,0.013724446,0.3431909,0.11187887,0.39977384,0.3721403,0.233711,0.19701445,0.22130986
1989-10-09,CAMELS_UY_10,0.03546858,0.08007491,0.018698692,0.34591246,0.07438731,0.3860458,0.3592397,0.23507631,0.16371667,0.20789398
1989-10-10,CAMELS_UY_10,0.028906703,0.06620216,0.0020700693,0.34481096,0.029038787,0.37136817,0.3452127,0.22009277,0.17453444,0.19416626
1989-10-11,CAMELS_UY_10,0.022662282,0.056851745,-0.039343834,0.3032676,0.004558563,0.32005644,0.34521973,0.1812514,0.2133826,0.17315553
1989-10-12,CAMELS_UY_10,0.015743256,-0.0018291473,-0.10948789,0.244766,-0.01875782,0.2722745,0.32071316,0.16056836,0.14709783,0.12691812
1989-10-13,CAMELS_UY_10,0.012819529,-0.037993193,-0.14874506,0.2470547,-0.09025073,0.29900706,0.3137895,0.13471067,0.09463334,0.10152578
1989-10-14,CAMELS_UY_10,0.010292649,-0.014204264,-0.108302236,0.2618307,-0.11293137,0.31184185,0.33402562,0.14754629,0.0958271,0.11445421
1989-10-15,CAMELS_UY_10,0.008255243,0.0020464659,-0.105961084,0.27399266,0.37386096,0.3090862,0.3619486,0.14015019,0.12304568,0.18477121
1989-10-16,CAMELS_UY_10,0.0073821545,-0.0029467344,-0.08332074,0.25918496,-0.11769378,0.31106615,0.33836687,0.15694082,0.101744056,0.1204177
1989-10-17,CAMELS_UY_10,0.007289529,-0.0026869774,-0.075997114,0.25989866,-0.113978505,0.3073703,0.3638934,0.1598779,0.10006511,0.124805346
1989-10-18,CAMELS_UY_10,0.007289529,-0.019482851,-0.09164548,0.24997127,-0.118947506,0.29655743,0.3316598,0.15703797,0.09944141,0.113074005
1989-10-19,CAMELS_UY_10,0.007289529,-0.024843812,-0.09801078,0.24166548,-0.1349498,0.28182817,0.32579756,0.15423715,0.094031096,0.10496938
1989-10-20,CAMELS_UY_10,0.007196903,-0.020453691,-0.09940302,0.22978616,-0.13486314,0.2611165,0.34647644,0.15313959,0.08416462,0.10249543
1989-10-21,CAMELS_UY_10,0.0060327053,-0.01354444,-0.081817865,0.22881484,0.3419404,0.240911,0.35350657,0.15981936,0.07463324,0.16303289
1989-10-22,CAMELS_UY_10,0.005913615,-0.014266729,-0.06552243,0.22602415,0.3563125,0.22882223,0.3414023,0.16773736,0.06547606,0.16324818
1989-10-23,CAMELS_UY_10,0.005913615,-0.020733833,-0.07041609,0.20456004,-0.12905395,0.23058438,0.30961287,0.1657952,0.048021317,0.09229624
1989-10-24,CAMELS_UY_10,0.005913615,-0.009678721,-0.09315491,0.18863988,-0.14039588,0.19228792,0.3197235,0.14004028,0.075784564,0.08415583
1989-10-25,CAMELS_UY_10,0.005913615,0.0039104223,-0.14731514,0.15860236,-0.049025297,0.12130535,0.2753526,0.11902225,0.13523436,0.07713586
1989-10-26,CAMELS_UY_10,0.005913615,-0.07194686,-0.1645695,0.17449331,-0.0028625727,0.20339596,0.23019445,0.12608719,0.0979681,0.07409501
1989-10-27,CAMELS_UY_10,0.005913615,-0.076770425,-0.11502421,0.27110982,-0.046756625,0.32074523,0.3485086,0.13422406,0.10281122,0.11735596
1989-10-28,CAMELS_UY_10,0.005913615,0.0049957037,-0.041479826,0.32956696,-0.03798473,0.35006404,0.42716146,0.17074442,0.14703453,0.16876282
1989-10-29,CAMELS_UY_10,,0.0097231865,-0.05240178,0.3216313,-0.05561912,0.33261573,0.40224278,0.162745,0.17582858,0.16209571
