,precipitation
1989-01-01,0.0
1989-01-02,0.0
1989-01-03,0.0
1989-01-04,0.0
1989-01-05,0.0
1989-01-06,1.7896917
1989-01-07,1.1982622
1989-01-08,0.073932156
1989-01-09,0.3644992
1989-01-10,0.5603756
1989-01-11,0.03034482
1989-01-12,0.0
1989-01-13,0.0
1989-01-14,0.0
1989-01-15,0.04170272
1989-01-16,0.018841881
1989-01-17,0.0
1989-01-18,11.336575
1989-01-19,10.713455
1989-01-20,3.235694
1989-01-21,0.0
1989-01-22,6.506941
1989-01-23,0.17045027
1989-01-24,2.8832626
1989-01-25,3.5638833
1989-01-26,0.0
1989-01-27,0.0
1989-01-28,0.0
1989-01-29,0.0
1989-01-30,0.0
1989-01-31,0.0
1989-02-01,0.22275858
1989-02-02,1.7482783
1989-02-03,0.788367
1989-02-04,0.0
1989-02-05,0.0
1989-02-06,0.0
1989-02-07,7.982131
1989-02-08,0.0021067394
1989-02-09,0.13514273
1989-02-10,0.00035452747
1989-02-11,0.0
1989-02-12,0.0
1989-02-13,0.17389117
1989-02-14,0.11854143
1989-02-15,1.7429868
1989-02-16,3.577492
1989-02-17,0.0
1989-02-18,0.0
1989-02-19,0.090581946
1989-02-20,4.458652
1989-02-21,8.493064
1989-02-22,0.0
1989-02-23,0.0
1989-02-24,0.0
1989-02-25,0.0
1989-02-26,0.0
1989-02-27,0.0
1989-02-28,0.0
1989-03-01,6.6338162
1989-03-02,41.658207
1989-03-03,1.5345584e-05
1989-03-04,18.198244
1989-03-05,0.71186155
1989-03-06,0.0
1989-03-07,0.0
1989-03-08,0.00022965111
1989-03-09,2.9642166e-07
1989-03-10,0.0075581046
1989-03-11,0.3397336
1989-03-12,0.03311568
1989-03-13,0.014668417
1989-03-14,8.731161e-05
1989-03-15,0.00014790251
1989-03-16,1.6951007
1989-03-17,0.0
1989-03-18,0.0
1989-03-19,0.0
1989-03-20,0.71879375
1989-03-21,1.8252506
1989-03-22,0.03991101
1989-03-23,0.032199726
1989-03-24,5.3597198
1989-03-25,0.034030274
1989-03-26,0.101496466
1989-03-27,0.0
1989-03-28,0.0
1989-03-29,1.916577
1989-03-30,0.3078155
1989-03-31,0.13366164
1989-04-01,0.0012126068
1989-04-02,0.0110071255
1989-04-03,0.5636312
1989-04-04,0.0
1989-04-05,0.021821594
1989-04-06,0.0
1989-04-07,0.23991403
1989-04-08,0.25208062
1989-04-09,29.982653
1989-04-10,0.16183573
1989-04-11,0.0
1989-04-12,0.0
1989-04-13,0.0
1989-04-14,0.0
1989-04-15,0.0
1989-04-16,60.36529
1989-04-17,0.1368382
1989-04-18,0.00077432714
1989-04-19,0.0
1989-04-20,0.0
1989-04-21,0.0
1989-04-22,0.0
1989-04-23,0.0
1989-04-24,0.0
1989-04-25,0.0
1989-04-26,1.0395417
1989-04-27,0.0
1989-04-28,0.36105135
1989-04-29,0.23800601
1989-04-30,0.07665567
1989-05-01,0.0
1989-05-02,0.0
1989-05-03,0.0
1989-05-04,0.0
1989-05-05,0.0
1989-05-06,3.7555025
1989-05-07,0.0
1989-05-08,0.0003251212
1989-05-09,0.1486664
1989-05-10,0.0004103765
1989-05-11,1.3530911e-05
1989-05-12,0.0
1989-05-13,0.0
1989-05-14,0.0
1989-05-15,10.279301
1989-05-16,0.014604435
1989-05-17,0.0013134016
1989-05-18,0.0013134016
1989-05-19,0.0013134016
1989-05-20,0.0013134016
1989-05-21,0.0
1989-05-22,0.0
1989-05-23,0.0
1989-05-24,0.0
1989-05-25,0.0
1989-05-26,0.0
1989-05-27,0.0
1989-05-28,0.0
1989-05-29,0.0
1989-05-30,0.0
1989-05-31,0.0
1989-06-01,7.60759e-05
1989-06-02,3.9935942
1989-06-03,0.05889654
1989-06-04,0.0
1989-06-05,0.0
1989-06-06,0.0
1989-06-07,0.0
1989-06-08,0.0
1989-06-09,0.0
1989-06-10,0.0
1989-06-11,2.0408943
1989-06-12,2.0408943
1989-06-13,2.0408943
1989-06-14,2.0408943
1989-06-15,7.6126184
1989-06-16,0.0
1989-06-17,0.0
1989-06-18,0.0
1989-06-19,0.0
1989-06-20,0.0
1989-06-21,17.767403
1989-06-22,0.59814876
1989-06-23,0.025851356
1989-06-24,0.0
1989-06-25,0.0
1989-06-26,0.025564848
1989-06-27,1.2388493
1989-06-28,0.0951923
1989-06-29,0.008546359
1989-06-30,4.183809
1989-07-01,0.0800137
1989-07-02,0.551851
1989-07-03,0.0
1989-07-04,0.014152948
1989-07-05,0.00010856988
1989-07-06,0.19176888
1989-07-07,2.086649
1989-07-08,0.11174854
1989-07-09,0.015326234
1989-07-10,0.015326234
1989-07-11,0.06847091
1989-07-12,0.49405077
1989-07-13,8.751327e-06
1989-07-14,9.075884e-06
1989-07-15,0.0
1989-07-16,0.0
1989-07-17,0.0
1989-07-18,0.0008197079
1989-07-19,0.0
1989-07-20,0.48050663
1989-07-21,0.0
1989-07-22,0.091311835
1989-07-23,33.991047
1989-07-24,0.5174959
1989-07-25,0.0
1989-07-26,0.35209015
1989-07-27,2.3092215
1989-07-28,2.2351284
1989-07-29,1.0265571
1989-07-30,0.06398434
1989-07-31,0.0
1989-08-01,0.0
1989-08-02,0.14375463
1989-08-03,14.003239
1989-08-04,5.627228
1989-08-05,0.0
1989-08-06,0.0
1989-08-07,0.0
1989-08-08,0.034488898
1989-08-09,21.585556
1989-08-10,7.257561
1989-08-11,0.0
1989-08-12,0.0
1989-08-13,0.0
1989-08-14,0.0
1989-08-15,0.0
1989-08-16,0.0
1989-08-17,0.92708427
1989-08-18,1.4729266
1989-08-19,36.481308
1989-08-20,3.125486
1989-08-21,28.333128
1989-08-22,5.037872
1989-08-23,6.940799e-05
1989-08-24,0.3807128
1989-08-25,0.0
1989-08-26,0.017420506
1989-08-27,0.009066335
1989-08-28,0.0
1989-08-29,0.0
1989-08-30,0.842712
1989-08-31,0.11887802
1989-09-01,0.003197591
1989-09-02,0.0
1989-09-03,0.0
1989-09-04,0.163809
1989-09-05,1.2190171
1989-09-06,0.0
1989-09-07,0.0
1989-09-08,0.0
1989-09-09,0.0
