basin,NSE,RMSE,MSE,Beta-KGE
CAMELS_UY_10,0.501511812210083,0.8376416100871917,0.7016434669494629,1.3539713621139526
CAMELS_UY_11,-0.08159816265106201,1.6494101597145212,2.7205538749694824,1.2162251472473145
CAMELS_UY_15,0.8105912208557129,0.8635505842999267,0.7457196116447449,1.1298075914382935
CAMELS_UY_16,0.25600165128707886,2.4621180049279583,6.06202507019043,0.9513109922409058
CAMELS_UY_2,0.5931680202484131,1.5863525148276625,2.516514301300049,1.133409857749939
CAMELS_UY_3,0.8276628851890564,1.279891619862303,1.63812255859375,1.0821051597595215
CAMELS_UY_5,0.7566485404968262,2.3076146045465338,5.325085163116455,1.2109256982803345
CAMELS_UY_6,0.8505706787109375,1.2042175385620153,1.4501398801803589,1.131239891052246
CAMELS_UY_7,0.6030044555664062,2.6598826084190383,7.074975490570068,1.205340027809143
CAMELS_UY_8,0.7098175883293152,2.1362576449164243,4.563596725463867,1.4018839597702026
CAMELS_UY_9,0.8315274119377136,0.9547886634084131,0.9116213917732239,1.0732754468917847
