basin,NSE,RMSE,MSE,Beta-KGE
CAMELS_UY_10,0.5135098695755005,0.8300169798826185,0.6889281868934631,1.4152029752731323
CAMELS_UY_11,0.026447653770446777,1.5670511720794338,2.4556493759155273,1.2847899198532104
CAMELS_UY_15,0.81992506980896,0.8388349640133921,0.7036440968513489,1.24559485912323
CAMELS_UY_16,0.3248971104621887,2.3385455521605794,5.468795299530029,1.047855019569397
CAMELS_UY_2,0.5546392798423767,1.6537263465164356,2.7348108291625977,1.1343584060668945
CAMELS_UY_3,0.8372491002082825,1.23951948092264,1.536408543586731,1.089048147201538
CAMELS_UY_5,0.7669963836669922,2.2491812805892017,5.058816432952881,1.2850091457366943
CAMELS_UY_6,0.832786500453949,1.2692436009760988,1.6109793186187744,1.1855614185333252
CAMELS_UY_7,0.5507968664169312,2.819211031476065,7.947950839996338,1.3753231763839722
CAMELS_UY_8,0.6101561784744263,2.467972065487742,6.090886116027832,1.607562780380249
CAMELS_UY_9,0.8487922549247742,0.9019241348174055,0.8134671449661255,1.0762451887130737
