date,basin,QObs_mm_d_obs,Q_sim_seed_888,Q_sim_seed_222,Q_sim_seed_555,Q_sim_seed_333,Q_sim_seed_111,Q_sim_seed_777,Q_sim_seed_666,Q_sim_seed_444,Q_sim_mean
1989-10-01,CAMELS_UY_10,0.09307027,0.7739436,0.58422565,0.56044614,0.27904058,0.042218804,0.5929762,0.45601928,0.37488258,0.45796913
1989-10-02,CAMELS_UY_10,0.11668515,0.7383532,0.5592352,0.50582504,0.24281383,-0.012426615,0.5667708,0.4183309,0.33531642,0.41927734
1989-10-03,CAMELS_UY_10,0.10332322,0.67132384,0.5298903,0.42090094,0.22165477,-0.0022720098,0.5492891,0.37346125,0.32056034,0.38560104
1989-10-04,CAMELS_UY_10,0.090159774,0.61580807,0.5170394,0.35446107,0.2214123,0.009265423,0.52064884,0.32290387,0.28189015,0.35542864
1989-10-05,CAMELS_UY_10,0.07284224,0.56732225,0.5089146,0.3071977,0.21854365,0.0038224459,0.48165417,0.28523755,0.25186622,0.3280698
1989-10-06,CAMELS_UY_10,0.06958771,0.5093745,0.4808483,0.25975943,0.2011919,-0.0077495575,0.4374869,0.24097717,0.22236753,0.29303202
1989-10-07,CAMELS_UY_10,0.050100565,0.44809115,0.43185854,0.20558548,0.1809709,-0.020003796,0.37766218,0.18487477,0.19220948,0.2501561
1989-10-08,CAMELS_UY_10,0.040390015,0.3845272,0.39901698,0.14434707,0.17281783,-0.03021288,0.33874953,0.14762712,0.17742777,0.21678758
1989-10-09,CAMELS_UY_10,0.03546858,0.3330878,0.39615607,0.13521457,0.17706084,-0.009987593,0.3177085,0.12494564,0.16538596,0.20494647
1989-10-10,CAMELS_UY_10,0.028906703,0.294137,0.37936068,0.108145595,0.16994548,-0.03681147,0.2830963,0.09278941,0.14522505,0.179486
1989-10-11,CAMELS_UY_10,0.022662282,0.24171078,0.2970661,0.0835433,0.13600218,-0.033002257,0.21430123,0.005935669,0.10526168,0.13135234
1989-10-12,CAMELS_UY_10,0.015743256,0.21959758,0.23751426,0.028888464,0.12888682,-0.02267611,0.21117938,-0.033584,0.11359382,0.110425025
1989-10-13,CAMELS_UY_10,0.012819529,0.21403563,0.24954069,-0.0045729876,0.14776552,-0.03857684,0.22771955,-0.01606369,0.11388588,0.11171672
1989-10-14,CAMELS_UY_10,0.010292649,0.20481873,0.29033256,-0.006132722,0.1554352,-0.04208839,0.24085212,-0.008230805,0.10999632,0.118122876
1989-10-15,CAMELS_UY_10,0.008255243,0.1885078,0.2872858,-0.0011148453,0.15281212,-0.052610993,0.22045863,-0.024790645,0.08603227,0.10707252
1989-10-16,CAMELS_UY_10,0.0073821545,0.18151426,0.2824371,-0.007462859,0.1444701,-0.05810201,0.20729053,-0.026092172,0.09401786,0.1022591
1989-10-17,CAMELS_UY_10,0.007289529,0.16121483,0.26505244,0.009046197,0.14241779,-0.056073904,0.17929006,-0.03610301,0.08231878,0.0933954
1989-10-18,CAMELS_UY_10,0.007289529,0.16070712,0.25893438,-0.0025093555,0.13778758,-0.05676627,0.17932403,-0.038264275,0.08811593,0.09091614
1989-10-19,CAMELS_UY_10,0.007289529,0.15098798,0.25018358,-0.029009938,0.12806416,-0.08759403,0.1745714,-0.044920444,0.075130105,0.0771766
1989-10-20,CAMELS_UY_10,0.007196903,0.14442873,0.25496054,-0.034738302,0.122885466,-0.08995378,0.17818904,-0.03822446,0.07106972,0.07607712
1989-10-21,CAMELS_UY_10,0.0060327053,0.13741255,0.26361763,-0.030341864,0.118919134,-0.089099646,0.18887901,-0.03734243,0.076707125,0.07859394
