date,basin,QObs_mm_d_obs,Q_sim_seed_333,Q_sim_seed_444,Q_sim_seed_111,Q_sim_seed_555,Q_sim_seed_666,Q_sim_seed_777,Q_sim_seed_222,Q_sim_seed_888,Q_sim_mean
1989-10-01,CAMELS_UY_10,0.09307027,0.5419586,0.7321499,0.605797,0.5710039,0.49335945,0.35600924,0.63884604,0.33659065,0.53446436
1989-10-02,CAMELS_UY_10,0.11668515,0.49038398,0.7078022,0.5690992,0.51414216,0.445709,0.29003298,0.58864164,0.31704152,0.49035656
1989-10-03,CAMELS_UY_10,0.10332322,0.45017433,0.6479573,0.49612498,0.44513237,0.42381716,0.22768927,0.5411091,0.26406908,0.43700922
1989-10-04,CAMELS_UY_10,0.090159774,0.40391076,0.5730239,0.4370464,0.41586983,0.39376724,0.19848919,0.48315692,0.23118305,0.3920559
1989-10-05,CAMELS_UY_10,0.07284224,0.37700725,0.51919425,0.41589844,0.39691007,0.36119366,0.17508733,0.4365517,0.22098148,0.36285305
1989-10-06,CAMELS_UY_10,0.06958771,0.34124792,0.47490132,0.39248443,0.3714354,0.33665407,0.13022387,0.3911785,0.21095634,0.33113524
1989-10-07,CAMELS_UY_10,0.050100565,0.29709017,0.42732763,0.3622142,0.33009124,0.30273592,0.087966084,0.3398311,0.20052731,0.29347295
1989-10-08,CAMELS_UY_10,0.040390015,0.26709807,0.35381114,0.32665026,0.31005037,0.2731614,0.047339916,0.31033647,0.16805601,0.25706297
1989-10-09,CAMELS_UY_10,0.03546858,0.26021278,0.31068504,0.30733085,0.30367923,0.2598313,0.024837136,0.29867136,0.15271926,0.23974587
1989-10-10,CAMELS_UY_10,0.028906703,0.23704517,0.28411233,0.30630887,0.29050004,0.22820282,0.014657736,0.27402318,0.14678824,0.2227048
1989-10-11,CAMELS_UY_10,0.022662282,0.18291664,0.27853382,0.2682035,0.23774815,0.2177329,-0.03678441,0.22375333,0.16136122,0.19168314
1989-10-12,CAMELS_UY_10,0.015743256,0.13891733,0.24165618,0.21165395,0.22586441,0.19941044,-0.070643425,0.19579136,0.14084649,0.16043709
1989-10-13,CAMELS_UY_10,0.012819529,0.12501597,0.20180297,0.21974862,0.25173545,0.14239454,-0.03705299,0.19120228,0.1441288,0.15487196
1989-10-14,CAMELS_UY_10,0.010292649,0.14484358,0.19342625,0.2403574,0.27209592,0.12705755,0.00850904,0.22243989,0.15109885,0.16997856
1989-10-15,CAMELS_UY_10,0.008255243,0.13904178,0.18226004,0.25374782,0.26430786,0.11947358,-0.0043444633,0.21598268,0.14822042,0.16483621
