date,basin,QObs_mm_d_obs,Q_sim_seed_666,Q_sim_seed_222,Q_sim_seed_111,Q_sim_seed_555,Q_sim_seed_333,Q_sim_seed_444,Q_sim_seed_888,Q_sim_seed_777,Q_sim_mean
1989-10-01,CAMELS_UY_10,0.09307027,0.4021566,0.5219363,0.39041805,0.28684103,0.57426465,0.07991707,0.44626677,0.13815415,0.3549943
1989-10-02,CAMELS_UY_10,0.11668515,0.34645796,0.4922701,0.35607612,0.2571572,0.5375762,0.07688224,0.36505842,0.1315713,0.3203812
1989-10-03,CAMELS_UY_10,0.10332322,0.33622634,0.43721688,0.32887614,0.2287389,0.528723,0.026973963,0.30352616,0.14125788,0.2914424
1989-10-04,CAMELS_UY_10,0.090159774,0.31316292,0.3978367,0.31396472,0.20960045,0.48861885,0.014993429,0.27590632,0.13866317,0.26909333
1989-10-05,CAMELS_UY_10,0.07284224,0.28484988,0.36354816,0.3015232,0.19901335,0.44776154,0.014630318,0.24659729,0.14397597,0.25023746
1989-10-06,CAMELS_UY_10,0.06958771,0.25523627,0.3187542,0.2800349,0.16996634,0.40128732,0.008542895,0.19499052,0.13805425,0.22085834
1989-10-07,CAMELS_UY_10,0.050100565,0.2233479,0.2660185,0.2438463,0.119190335,0.34928012,-0.006772518,0.12503767,0.12270796,0.18033203
1989-10-08,CAMELS_UY_10,0.040390015,0.19107783,0.2182374,0.20495152,0.06999111,0.31796014,-0.055925608,0.09207249,0.11581397,0.14427236
1989-10-09,CAMELS_UY_10,0.03546858,0.1768043,0.19396424,0.21310663,0.06095302,0.27586174,-0.063734174,0.092607856,0.11355436,0.13288975
1989-10-10,CAMELS_UY_10,0.028906703,0.16129363,0.17238271,0.19822311,0.037777305,0.2375437,-0.051423192,0.07697022,0.10543156,0.11727488
1989-10-11,CAMELS_UY_10,0.022662282,0.14217985,0.10927653,0.16155255,-0.016657472,0.15820849,-0.042188406,-0.045665503,0.0650754,0.06647268
1989-10-12,CAMELS_UY_10,0.015743256,0.10228169,0.07019377,0.1024729,-0.057507515,0.14741218,-0.11006689,-0.11172223,0.044923425,0.023498416
1989-10-13,CAMELS_UY_10,0.012819529,0.05508375,0.056270838,0.042592645,-0.03960669,0.12040174,-0.1838541,-0.0754509,0.034751296,0.0012735724
1989-10-14,CAMELS_UY_10,0.010292649,0.06367862,0.05196786,0.08467317,-0.00316751,0.11925602,-0.17958164,-0.02434647,0.0531193,0.020699918
1989-10-15,CAMELS_UY_10,0.008255243,0.066109896,0.03793955,0.09309435,-0.018431902,0.0860523,-0.13588297,-0.015308261,0.04020655,0.019222438
1989-10-16,CAMELS_UY_10,0.0073821545,0.07739091,0.03945601,0.09711242,-0.038861394,0.12124586,-0.12656724,0.027121782,0.04680419,0.030462816
1989-10-17,CAMELS_UY_10,0.007289529,0.0810616,0.033908248,0.10476792,-0.06387293,0.12713468,-0.107883096,0.031526923,0.04065001,0.03091167
1989-10-18,CAMELS_UY_10,0.007289529,0.08369672,0.035371542,0.09558475,-0.060046673,0.11018622,-0.10562265,0.01214993,0.044413447,0.026966661
1989-10-19,CAMELS_UY_10,0.007289529,0.078981996,0.025093913,0.07911372,-0.06459153,0.096877456,-0.123170495,-0.0036764145,0.047033668,0.01695779
1989-10-20,CAMELS_UY_10,0.007196903,0.09022725,0.02017343,0.08931208,-0.052836895,0.08191073,-0.13086104,-0.018346786,0.056930423,0.017063648
1989-10-21,CAMELS_UY_10,0.0060327053,0.112675786,0.005680084,0.103210926,-0.03887999,0.08302331,-0.12540078,-0.009431601,0.07020128,0.025134876
1989-10-22,CAMELS_UY_10,0.005913615,0.118246555,0.02756381,0.11839342,-0.04286909,0.088475704,-0.11569047,0.011127949,0.08010638,0.035669282
1989-10-23,CAMELS_UY_10,0.005913615,0.10628843,0.033435464,0.12987018,-0.07167125,0.082399964,-0.08060229,0.08469725,0.08060002,0.04562722
1989-10-24,CAMELS_UY_10,0.005913615,0.09320724,-0.025897264,0.12265813,-0.0969491,0.06970596,-0.06180966,0.016223788,0.047355175,0.020561785
1989-10-25,CAMELS_UY_10,0.005913615,0.12578535,-0.03601575,0.16026855,-0.17279911,0.10211539,-0.10904026,-0.08412814,0.004251957,-0.0011952519
1989-10-26,CAMELS_UY_10,0.005913615,0.067076206,-0.061356425,-0.023059607,-0.09624803,0.1332196,-0.18147373,-0.12156856,-0.029730082,-0.03914258
1989-10-27,CAMELS_UY_10,0.005913615,0.030524373,0.0068662167,0.10316694,-0.051523447,0.13651729,-0.13599443,0.010787249,0.021918893,0.015282884
1989-10-28,CAMELS_UY_10,0.005913615,0.08788335,0.09754157,0.17092168,0.09151244,0.18650734,-0.081113696,0.1362586,0.09554899,0.098132536
1989-10-29,CAMELS_UY_10,,0.107762575,0.11734474,0.17764866,0.11003852,0.21886206,-0.025032282,0.14850855,0.09105146,0.118273035
1989-10-30,CAMELS_UY_10,0.005913615,0.14526701,0.12592494,0.19502974,0.12625241,0.22129047,0.003221035,0.126598,0.088409066,0.12899908
1989-10-31,CAMELS_UY_10,0.005794525,0.15766191,0.117403746,0.17353821,0.12516522,0.2342695,-0.038163662,0.10823107,0.08890033,0.12087579
1989-11-01,CAMELS_UY_10,0.0042202473,0.15978193,0.13615227,0.19676769,0.13683331,0.22106898,-0.031344175,0.12644851,0.091919184,0.12970346
1989-11-02,CAMELS_UY_10,0.0041276217,0.15579903,0.07051265,0.20731091,0.115460515,0.22985363,-0.012757659,0.07039797,0.04689312,0.11043377
1989-11-03,CAMELS_UY_10,0.005066991,0.15730608,0.07421982,0.18688297,0.04330218,0.22437191,-0.05755937,0.0013555288,0.0432446,0.084140465
1989-11-04,CAMELS_UY_10,0.005847454,0.10081804,0.05452597,0.033441663,0.059654236,0.18907976,-0.11379063,0.038102865,0.04300952,0.050605178
1989-11-05,CAMELS_UY_10,0.005913615,0.123472214,0.10159814,0.16755807,0.13239455,0.19816923,-0.048199415,0.099580884,0.08033848,0.10686402
1989-11-06,CAMELS_UY_10,0.0058606863,0.13848293,0.12045312,0.16883337,0.15445507,0.23135638,-0.042164207,0.11235249,0.082491875,0.12078263
1989-11-07,CAMELS_UY_10,0.0051859617,0.13698983,0.12494302,0.17810762,0.15906227,0.21242845,-0.025548458,0.10516167,0.0725894,0.120466724
1989-11-08,CAMELS_UY_10,0.0050537586,0.13704431,0.11073887,0.16424823,0.12391877,0.20358276,-0.02221644,0.07728028,0.061351657,0.106993556
1989-11-09,CAMELS_UY_10,0.004431963,0.118166566,0.080773234,0.114334345,0.08498812,0.18554306,-0.07058537,0.050669193,0.05648744,0.07754707
1989-11-10,CAMELS_UY_10,0.0040614605,0.11508143,0.08099723,0.14396894,0.06853044,0.16069055,-0.065006256,0.06395638,0.06046331,0.07858525
1989-11-11,CAMELS_UY_10,0.0037837029,0.1397407,0.047115326,0.18748295,0.046097398,0.1690166,-0.035676956,0.03536868,0.031760454,0.077613145
1989-11-12,CAMELS_UY_10,0.004021764,0.146456,0.0154976845,0.17592585,0.016531587,0.19969809,-0.104240775,-0.030911922,-0.0153307915,0.050453216
1989-11-13,CAMELS_UY_10,0.0040482283,0.08053458,0.030982137,0.05644834,0.05814755,0.16302538,-0.11193025,-0.05756879,-0.018181682,0.025182158
1989-11-14,CAMELS_UY_10,0.0040482283,0.05797136,0.07134962,0.095973015,0.07907796,0.17010462,-0.16279662,0.038108706,0.0364784,0.048283383
1989-11-15,CAMELS_UY_10,0.0040085316,0.08158803,0.09690046,0.14970422,0.13374507,0.18937397,-0.08388376,0.080162525,0.045719147,0.08666371
1989-11-16,CAMELS_UY_10,0.0034661293,0.129915,0.11688733,0.18119371,0.17514968,0.20004523,-0.054014564,0.08732712,0.052379012,0.111110315
1989-11-17,CAMELS_UY_10,0.0029501915,0.14147961,0.12800968,0.18955779,0.19191289,0.21313131,-0.041797876,0.10041952,0.05788338,0.12257454
1989-11-18,CAMELS_UY_10,0.0028972626,0.13535023,0.12630081,0.19100499,0.19605744,0.21595955,-0.02932036,0.10923588,0.06013024,0.12558985
1989-11-19,CAMELS_UY_10,0.0028972626,0.13736665,0.101751566,0.18056583,0.18890905,0.20291615,-0.011449933,0.07273424,0.054032326,0.115853235
1989-11-20,CAMELS_UY_10,0.0028840303,0.15001178,0.10073471,0.19638169,0.13679135,0.19918334,-0.020258904,0.057051897,0.04803419,0.10849126
1989-11-21,CAMELS_UY_10,0.0026724339,0.12477565,0.08359027,0.12512207,0.10591018,0.18122637,-0.07203162,0.033539772,0.048111916,0.07878058
1989-11-22,CAMELS_UY_10,0.0028840303,0.09408343,-0.017636538,0.1655078,0.07224703,0.17250144,-0.07200563,0.007604718,-0.020881176,0.050177634
1989-11-23,CAMELS_UY_10,0.0056226254,0.12547636,-0.0022672415,0.23798227,0.032590985,0.17044008,-0.05597353,-0.081793904,0.037706852,0.058020234
1989-11-24,CAMELS_UY_10,0.005913615,0.13461936,0.06832719,0.10433555,0.066890836,0.15699649,-0.07442176,-0.002678156,0.043448806,0.062189788
1989-11-25,CAMELS_UY_10,0.005794525,0.11423063,0.09841299,0.106187105,0.14099026,0.18381321,-0.08575034,0.039095998,0.061284542,0.08228305
1989-11-26,CAMELS_UY_10,0.0042202473,0.1198684,0.1311543,0.17288709,0.21214259,0.22237694,-0.041891336,0.08409679,0.07801771,0.12233156
1989-11-27,CAMELS_UY_10,0.0039952993,0.15042067,0.14926207,0.18865895,0.23636496,0.25231338,-0.012373805,0.083202004,0.06816661,0.13950185
1989-11-28,CAMELS_UY_10,0.0032280684,0.14754093,0.14616346,0.17683232,0.23225987,0.26309013,-0.037912726,0.072299,0.063521504,0.13297431
1989-11-29,CAMELS_UY_10,0.002923727,0.13282573,0.12577116,0.16274285,0.19780803,0.22355473,-0.036761045,0.038686275,0.039144754,0.11047156
1989-11-30,CAMELS_UY_10,0.0028840303,0.113456845,0.10068822,0.12984157,0.14010572,0.21976471,-0.08207154,0.027126431,0.03500426,0.08548953
1989-12-01,CAMELS_UY_10,0.0026724339,0.09539521,0.07902944,0.11732221,0.08392477,0.204445,-0.122749925,0.033848763,0.038285017,0.06618756
1989-12-02,CAMELS_UY_10,0.0026592016,0.068786144,-0.00616467,0.15012681,0.044389486,0.20483851,-0.11518335,0.014060974,-0.017929435,0.04286556
1989-12-03,CAMELS_UY_10,0.0026592016,0.10031557,0.037615776,0.27481973,0.011582851,0.2114408,-0.06607902,0.0055577755,0.005677581,0.07261638
1989-12-04,CAMELS_UY_10,0.0026592016,0.12509179,0.074937105,0.16186035,0.049518704,0.19344258,-0.14136076,0.047497988,0.05374062,0.07059105
1989-12-05,CAMELS_UY_10,0.0026592016,0.10915744,0.0829432,0.20560062,0.01998365,0.16458392,-0.09997845,0.060558915,0.058900476,0.07521872
1989-12-06,CAMELS_UY_10,0.0026592016,0.122329116,0.08571398,0.2188133,0.006921768,0.15877116,-0.07779527,0.05232787,0.058267236,0.078168646
1989-12-07,CAMELS_UY_10,0.0026592016,0.13358116,0.08615732,0.22536767,-0.021933913,0.15411377,-0.07550168,0.03999698,0.05400467,0.07447325
1989-12-08,CAMELS_UY_10,0.0026592016,0.10868311,0.063925505,0.1760813,-0.06526399,0.1396259,-0.11899078,0.016604066,0.049179792,0.046230614
1989-12-09,CAMELS_UY_10,0.0026592016,0.10767305,0.05664313,0.18916845,-0.08718586,0.12240589,-0.11877942,0.022361398,0.060802102,0.044136092
1989-12-10,CAMELS_UY_10,0.0026592016,0.095784664,0.04039073,0.16728532,-0.1225158,0.09893775,-0.1316694,0.007982016,0.04595542,0.025268838
1989-12-11,CAMELS_UY_10,0.0026592016,0.10478246,0.049631476,0.1957283,-0.10851598,0.097565174,-0.121974945,0.01859057,0.062015653,0.03722784
1989-12-12,CAMELS_UY_10,0.0025930405,0.111853,0.0530262,0.21945381,-0.10859144,0.092528224,-0.116270304,0.024584413,0.06777835,0.043045282
1989-12-13,CAMELS_UY_10,0.0020506382,0.12814212,0.06722534,0.25162685,-0.09145951,0.08739436,-0.10192728,0.030225754,0.07028723,0.055189356
1989-12-14,CAMELS_UY_10,0.0017066002,0.15854204,0.08678043,0.28377032,-0.06927562,0.08660889,-0.08875966,0.02493465,0.06451154,0.06838907
1989-12-15,CAMELS_UY_10,0.0012303591,0.13473368,0.085430145,0.2680962,-0.10349357,0.09091866,-0.10356474,0.036715627,0.07167387,0.060063735
1989-12-16,CAMELS_UY_10,0.0012965202,0.07970965,-0.016489387,0.27286398,-0.13854182,0.08421755,-0.11358786,0.0042779446,-0.020143509,0.01903832
1989-12-17,CAMELS_UY_10,0.0025268793,0.17646372,0.022644639,0.407781,-0.23527193,0.027436376,-0.13617301,-0.04708004,-0.05226338,0.020442173
1989-12-18,CAMELS_UY_10,0.0026592016,0.06000495,-0.0060874224,0.07541835,-0.09988904,0.08383405,-0.14642107,0.039396048,-0.04370725,-0.0046814233
1989-12-19,CAMELS_UY_10,0.0026592016,0.052054286,0.063547015,0.20870638,-0.09570289,0.07242322,-0.15104127,0.10768008,0.051810503,0.038684666
1989-12-20,CAMELS_UY_10,0.002619505,0.100139976,0.077830315,0.20518339,-0.057029486,0.13770199,-0.08474481,0.11551833,0.037745595,0.06654316
1989-12-21,CAMELS_UY_10,0.0022093058,0.11798692,0.09540427,0.2305969,-0.05962169,0.13038707,-0.07533705,0.124222636,0.04160154,0.07565507
1989-12-22,CAMELS_UY_10,0.001693368,0.13011634,0.092099786,0.22617674,-0.060040712,0.120729804,-0.05826354,0.114177346,0.03899038,0.07549827
1989-12-23,CAMELS_UY_10,0.0016139746,0.12981737,0.08071959,0.21225917,-0.06692612,0.102694154,-0.054943204,0.090055585,0.04046917,0.066768214
1989-12-24,CAMELS_UY_10,0.0012303591,0.13410687,0.081786156,0.22692811,-0.073518515,0.10362816,-0.0350734,0.09793675,0.0503937,0.07327348
