date,basin,QObs_mm_d_obs,Q_sim_seed_555,Q_sim_seed_777,Q_sim_seed_333,Q_sim_seed_111,Q_sim_seed_888,Q_sim_seed_444,Q_sim_seed_666,Q_sim_seed_222,Q_sim_mean
1989-10-01,CAMELS_UY_10,0.09307027,0.28883398,0.38916183,0.44760334,0.5530828,0.35845983,0.36676824,0.51421297,0.6108107,0.44111675
1989-10-02,CAMELS_UY_10,0.11668515,0.25158167,0.34687948,0.39508283,0.5302297,0.35113227,0.32541823,0.481542,0.57288206,0.40684354
1989-10-03,CAMELS_UY_10,0.10332322,0.23603427,0.33529758,0.35954404,0.51637447,0.32762742,0.3223611,0.42425,0.52453065,0.38075247
1989-10-04,CAMELS_UY_10,0.090159774,0.24071372,0.29487967,0.33510005,0.49696112,0.2918638,0.31440628,0.35331178,0.48178613,0.3511278
1989-10-05,CAMELS_UY_10,0.07284224,0.2370615,0.27403378,0.32762027,0.49475896,0.28324366,0.3159169,0.30174494,0.4749906,0.33867133
1989-10-06,CAMELS_UY_10,0.06958771,0.22166765,0.26143205,0.30558348,0.47655153,0.2664038,0.3032105,0.24558806,0.45182323,0.31653255
1989-10-07,CAMELS_UY_10,0.050100565,0.18251097,0.22723007,0.27030528,0.44266188,0.25052035,0.27971435,0.16141343,0.41512632,0.27868533
1989-10-08,CAMELS_UY_10,0.040390015,0.17119682,0.2171154,0.2632805,0.40004003,0.22643638,0.26989543,0.11180127,0.3842963,0.25550777
1989-10-09,CAMELS_UY_10,0.03546858,0.17695916,0.21521068,0.27723897,0.37600338,0.2205987,0.2744118,0.083468914,0.38023567,0.2505159
1989-10-10,CAMELS_UY_10,0.028906703,0.18078792,0.2005179,0.28069818,0.3622756,0.22351384,0.26723588,0.05855155,0.37438142,0.24349529
1989-10-11,CAMELS_UY_10,0.022662282,0.12327099,0.16341484,0.20294917,0.30085754,0.19862688,0.20802331,-0.027705789,0.2957697,0.18315083
1989-10-12,CAMELS_UY_10,0.015743256,0.086800694,0.16197383,0.16454339,0.2622794,0.15655136,0.17754066,-0.081419826,0.23271751,0.14512338
1989-10-13,CAMELS_UY_10,0.012819529,0.108418465,0.1493473,0.1732378,0.24206257,0.13240361,0.18001676,-0.06217444,0.2717172,0.14937866
1989-10-14,CAMELS_UY_10,0.010292649,0.13592386,0.16848493,0.2217753,0.2798376,0.1509273,0.23168528,-0.014976025,0.335505,0.18864541
1989-10-15,CAMELS_UY_10,0.008255243,0.12920928,0.16954875,0.22474194,0.29197752,0.18922484,0.2462821,0.010299683,0.36132562,0.20282622
1989-10-16,CAMELS_UY_10,0.0073821545,0.12943721,0.18738484,0.24066925,0.26555324,0.16173553,0.2227987,-0.027046561,0.34064317,0.19014692
1989-10-17,CAMELS_UY_10,0.007289529,0.12352455,0.17691088,0.2387135,0.25291502,0.15753627,0.21141207,-0.04009509,0.3261683,0.18088569
1989-10-18,CAMELS_UY_10,0.007289529,0.11760974,0.16984391,0.22672355,0.23774934,0.15769124,0.20361507,-0.05481553,0.3262633,0.17308508
1989-10-19,CAMELS_UY_10,0.007289529,0.12434149,0.16078985,0.22298336,0.2329768,0.15143466,0.20759487,-0.04549098,0.3263315,0.17262019
1989-10-20,CAMELS_UY_10,0.007196903,0.12053001,0.16330957,0.22169888,0.23116577,0.15047014,0.228899,-0.036855698,0.34648836,0.17821325
1989-10-21,CAMELS_UY_10,0.0060327053,0.12496698,0.17730832,0.22717643,0.24902987,0.16717684,0.26533282,-0.010994911,0.363577,0.19544667
