date,basin,QObs_mm_d_obs,Q_sim_seed_555,Q_sim_seed_888,Q_sim_seed_111,Q_sim_seed_222,Q_sim_seed_666,Q_sim_seed_333,Q_sim_seed_777,Q_sim_seed_444,Q_sim_mean
1989-10-01,CAMELS_UY_10,0.09307027,0.5557054,0.80619717,0.4212786,0.9614749,0.6072681,0.45008183,0.5167599,0.5547763,0.6091927
1989-10-02,CAMELS_UY_10,0.11668515,0.4981407,0.7582721,0.4079306,0.8943302,0.5105288,0.36727452,0.46279693,0.4528333,0.5440134
1989-10-03,CAMELS_UY_10,0.10332322,0.45776224,0.66864,0.37859535,0.8025406,0.4161712,0.252751,0.39226878,0.36555707,0.4667858
1989-10-04,CAMELS_UY_10,0.090159774,0.40436018,0.56095135,0.3181219,0.7000952,0.3767141,0.19134903,0.3339877,0.3160839,0.40020794
1989-10-05,CAMELS_UY_10,0.07284224,0.34996474,0.47597957,0.29600394,0.64581746,0.34915316,0.17208385,0.29406095,0.29284227,0.35948825
1989-10-06,CAMELS_UY_10,0.06958771,0.2860191,0.39698005,0.2663381,0.57337713,0.29251373,0.122592926,0.23329651,0.25434113,0.30318233
1989-10-07,CAMELS_UY_10,0.050100565,0.20375061,0.30983424,0.2245009,0.5079341,0.2274797,0.08204079,0.14692354,0.21230328,0.2393459
1989-10-08,CAMELS_UY_10,0.040390015,0.1979729,0.24375391,0.19566047,0.4341159,0.19568169,0.06544292,0.12441397,0.17753243,0.20432177
1989-10-09,CAMELS_UY_10,0.03546858,0.18435717,0.21487236,0.18204916,0.3889295,0.18330812,0.061223984,0.114305735,0.16998136,0.18737842
1989-10-10,CAMELS_UY_10,0.028906703,0.17954028,0.19182181,0.16641021,0.38079846,0.18921924,0.0893358,0.11058462,0.16576481,0.1841844
1989-10-11,CAMELS_UY_10,0.022662282,0.004262328,0.14040804,0.08934879,0.3219583,0.052381158,-0.016394496,-0.048044562,0.087423325,0.07891786
1989-10-12,CAMELS_UY_10,0.015743256,0.00069129467,0.13796377,0.044210076,0.37126458,0.001106739,0.008417606,-0.06603694,0.08973527,0.07341905
1989-10-13,CAMELS_UY_10,0.012819529,0.07924414,0.16982627,-0.0051362514,0.4778552,0.043925047,0.05362618,-0.005135894,0.067252636,0.110182166
1989-10-14,CAMELS_UY_10,0.010292649,0.13970912,0.20047653,0.021003604,0.5030016,0.07765174,0.07186949,0.05153978,0.07722187,0.14280921
1989-10-15,CAMELS_UY_10,0.008255243,0.121771574,0.19687724,0.018024564,0.50198925,0.071861506,0.1836729,0.045076013,0.07711792,0.15204887
1989-10-16,CAMELS_UY_10,0.0073821545,0.12045956,0.18991554,0.014088035,0.26868188,0.06597817,0.067170024,0.0220263,0.07750261,0.103227764
1989-10-17,CAMELS_UY_10,0.007289529,0.085139275,0.15320992,0.002532959,0.25057268,0.056816816,0.048770428,-0.011184812,0.073881865,0.08246739
1989-10-18,CAMELS_UY_10,0.007289529,0.07096517,0.13904834,-0.00011205673,0.24975812,0.044512868,0.0379318,-0.015194654,0.066583395,0.07418662
1989-10-19,CAMELS_UY_10,0.007289529,0.075304866,0.12761855,-0.005053282,0.26006544,0.037838817,0.030603051,-0.009567976,0.046107054,0.070364565
1989-10-20,CAMELS_UY_10,0.007196903,0.06389952,0.12819874,0.0013794899,0.3443452,0.019374132,0.024673581,0.025645852,0.035653472,0.08039625
1989-10-21,CAMELS_UY_10,0.0060327053,0.07129109,0.12653518,0.0048561096,0.38395655,0.019227624,0.04710877,0.10220075,0.04785025,0.10037829
1989-10-22,CAMELS_UY_10,0.005913615,0.07836437,0.11753273,0.02033782,0.3200245,0.027061582,0.041531682,0.078730345,0.06281817,0.09330015
1989-10-23,CAMELS_UY_10,0.005913615,0.073346615,0.095525265,0.03909421,0.22299337,0.033872128,0.03717017,0.033718824,0.0675782,0.07541235
1989-10-24,CAMELS_UY_10,0.005913615,-0.012811184,0.06815958,-0.005002022,0.19245565,-0.019445539,-0.0041298866,-0.027592778,0.02185595,0.026686221
1989-10-25,CAMELS_UY_10,0.005913615,-0.07249701,0.06354737,-0.026786327,0.2398988,-0.07119691,0.017108798,-0.07318711,0.040554285,0.014680237
1989-10-26,CAMELS_UY_10,0.005913615,0.093275785,0.06483686,-0.12629795,0.29312932,-0.049042463,0.07481456,0.04651296,0.039295435,0.054565564
1989-10-27,CAMELS_UY_10,0.005913615,0.19849098,0.18837106,-0.09644365,0.29393995,0.057725787,0.07647812,0.104649544,0.10947347,0.11658566
1989-10-28,CAMELS_UY_10,0.005913615,0.23016894,0.23492754,0.04405117,0.41852486,0.14326584,0.18325078,0.1662854,0.21240807,0.20411032
1989-10-29,CAMELS_UY_10,,0.22646487,0.22772622,0.07131493,0.40529847,0.11237562,0.16686547,0.15919018,0.21734178,0.19832219
1989-10-30,CAMELS_UY_10,0.005913615,0.17049968,0.21018589,0.08700287,0.40196598,0.07807243,0.15211391,0.13312232,0.2191006,0.18150796
