date,basin,QObs_mm_d_obs,Q_sim_seed_333,Q_sim_seed_111,Q_sim_seed_666,Q_sim_seed_444,Q_sim_seed_888,Q_sim_seed_555,Q_sim_seed_222,Q_sim_seed_777,Q_sim_mean
1989-10-01,CAMELS_UY_10,0.09307027,0.1485951,0.50273955,0.33677197,0.42576623,0.65759605,0.31411588,0.31128073,0.4024309,0.38741207
1989-10-02,CAMELS_UY_10,0.11668515,0.1476798,0.5254457,0.32804334,0.41195142,0.6223255,0.29714763,0.2857685,0.37382698,0.37402362
1989-10-03,CAMELS_UY_10,0.10332322,0.102253795,0.5065149,0.290501,0.39510942,0.5886904,0.2539358,0.3124702,0.35098302,0.3500573
1989-10-04,CAMELS_UY_10,0.090159774,0.09899998,0.48662055,0.26594985,0.38076735,0.5413214,0.2372104,0.29821694,0.33240616,0.33018655
1989-10-05,CAMELS_UY_10,0.07284224,0.10416019,0.4910972,0.24342883,0.37185848,0.5176388,0.22678351,0.28318954,0.30827188,0.31830356
1989-10-06,CAMELS_UY_10,0.06958771,0.10062516,0.4846624,0.21454144,0.35313153,0.50072074,0.21245015,0.27410412,0.29035294,0.30382353
1989-10-07,CAMELS_UY_10,0.050100565,0.099012256,0.45997703,0.16876006,0.3169316,0.48357058,0.1934458,0.24578965,0.2454406,0.27661595
1989-10-08,CAMELS_UY_10,0.040390015,0.08195591,0.40677702,0.13384056,0.30180085,0.47072506,0.15820587,0.26393223,0.23426545,0.25643787
1989-10-09,CAMELS_UY_10,0.03546858,0.07071686,0.3968984,0.11157572,0.30705762,0.45978653,0.1545484,0.2724222,0.24553347,0.2523174
1989-10-10,CAMELS_UY_10,0.028906703,0.094435215,0.40942,0.10931885,0.31405628,0.4492674,0.16929317,0.2586515,0.24465919,0.2561377
1989-10-11,CAMELS_UY_10,0.022662282,0.09654009,0.38003302,0.079108596,0.23194003,0.43903065,0.15310144,0.20685136,0.17714345,0.22046858
1989-10-12,CAMELS_UY_10,0.015743256,0.07015765,0.27848065,0.035748363,0.16783798,0.43889904,0.10692787,0.2092681,0.12664926,0.17924611
1989-10-13,CAMELS_UY_10,0.012819529,0.04186225,0.19232154,0.019042373,0.18624055,0.42847717,0.063311815,0.2145611,0.11126983,0.15713583
