date,basin,QObs_mm_d_obs,Q_sim_seed_444,Q_sim_seed_555,Q_sim_seed_888,Q_sim_seed_777,Q_sim_seed_222,Q_sim_seed_333,Q_sim_seed_666,Q_sim_seed_111,Q_sim_mean
1989-10-01,CAMELS_UY_10,0.09307027,0.72535723,0.803714,0.12281132,0.76334345,0.51550937,0.46279287,0.36392546,0.55075383,0.53852594
1989-10-02,CAMELS_UY_10,0.11668515,0.6507643,0.71292824,0.08415687,0.71060055,0.4353255,0.38328063,0.29581058,0.5117432,0.47307622
1989-10-03,CAMELS_UY_10,0.10332322,0.5217382,0.61608535,0.048143744,0.58513904,0.40234518,0.38732958,0.27562773,0.45258713,0.41112447
1989-10-04,CAMELS_UY_10,0.090159774,0.5166956,0.55936515,0.062456846,0.50466883,0.41181505,0.3904711,0.27829623,0.37863743,0.3878008
1989-10-05,CAMELS_UY_10,0.07284224,0.47782683,0.5108534,0.058150172,0.44604027,0.39496028,0.36851525,0.25161195,0.3240471,0.35400066
1989-10-06,CAMELS_UY_10,0.06958771,0.43204188,0.47350347,0.044142842,0.40748012,0.3747543,0.35883904,0.22693837,0.29194355,0.32620543
1989-10-07,CAMELS_UY_10,0.050100565,0.39317393,0.44349146,0.011725426,0.35085058,0.35116422,0.32409358,0.20206642,0.25057924,0.29089314
1989-10-08,CAMELS_UY_10,0.040390015,0.3505304,0.4178611,7.271767e-05,0.3211465,0.3403257,0.33357584,0.1915214,0.25134277,0.27579707
1989-10-09,CAMELS_UY_10,0.03546858,0.3600843,0.41875184,0.028072596,0.32952678,0.35443974,0.36150062,0.19455957,0.26562405,0.28906995
1989-10-10,CAMELS_UY_10,0.028906703,0.36111212,0.4083773,0.03306687,0.31506193,0.3467139,0.33484817,0.17992377,0.2720617,0.28139573
1989-10-11,CAMELS_UY_10,0.022662282,0.31272006,0.40235078,-0.03246498,0.24731791,0.32873774,0.27272987,0.14203286,0.24238276,0.23947588
1989-10-12,CAMELS_UY_10,0.015743256,0.26051402,0.3926456,-0.07885337,0.17376697,0.33416462,0.2459253,0.13882065,0.23770356,0.21308592
1989-10-13,CAMELS_UY_10,0.012819529,0.3376156,0.40593195,-0.042189717,0.2129457,0.32086504,0.29230833,0.17452991,0.30490708,0.25086424
1989-10-14,CAMELS_UY_10,0.010292649,0.39492798,0.44712126,0.020918727,0.2808783,0.4233811,0.32845306,0.18879795,0.39733744,0.31022698
1989-10-15,CAMELS_UY_10,0.008255243,0.41441405,0.5746108,0.04082954,0.31352115,0.4567914,0.34273446,0.21161222,0.41027117,0.3455981
1989-10-16,CAMELS_UY_10,0.0073821545,0.35657918,0.4203812,0.024072766,0.27551055,0.33894455,0.31141222,0.17997348,0.32102442,0.2784873
1989-10-17,CAMELS_UY_10,0.007289529,0.35411477,0.40226543,0.013102055,0.24789178,0.33001554,0.3082595,0.17495322,0.25203848,0.26033008
1989-10-18,CAMELS_UY_10,0.007289529,0.3507179,0.386158,0.008141279,0.22279835,0.32067478,0.27699506,0.17142558,0.23629439,0.24665067
1989-10-19,CAMELS_UY_10,0.007289529,0.33167386,0.36687195,-0.0034661293,0.19889331,0.31292582,0.26566243,0.15376437,0.24529755,0.2339529
1989-10-20,CAMELS_UY_10,0.007196903,0.32728803,0.3539648,0.005718589,0.18961024,0.3234898,0.26772428,0.14817297,0.27804387,0.23675157
1989-10-21,CAMELS_UY_10,0.0060327053,0.32355785,0.37553298,0.024183035,0.19102132,0.36387622,0.30424607,0.1580255,0.31904304,0.25743574
1989-10-22,CAMELS_UY_10,0.005913615,0.311733,0.3281108,0.024900794,0.1709497,0.30005336,0.2768997,0.14412236,0.2451731,0.22524285
1989-10-23,CAMELS_UY_10,0.005913615,0.32371807,0.31325138,0.03673482,0.14965081,0.29452324,0.25729,0.13740528,0.22151375,0.21676092
1989-10-24,CAMELS_UY_10,0.005913615,0.29827332,0.2870816,0.013619304,0.11380339,0.25613534,0.19803333,0.11086476,0.18794441,0.18321943
1989-10-25,CAMELS_UY_10,0.005913615,0.21152508,0.33495247,0.033141017,0.09646428,0.3301574,0.150653,0.055613756,0.22182107,0.17929101
1989-10-26,CAMELS_UY_10,0.005913615,0.17622423,0.28043532,-0.00560081,0.10123634,0.27612972,0.1611768,0.12394917,0.24737096,0.17011522
1989-10-27,CAMELS_UY_10,0.005913615,0.350062,0.3593334,0.04098904,0.24079013,0.33820295,0.33079624,0.17808723,0.32299566,0.2701571
1989-10-28,CAMELS_UY_10,0.005913615,0.42802382,0.3728186,0.07932603,0.3020773,0.3773086,0.34745073,0.18688703,0.31456804,0.30105752
1989-10-29,CAMELS_UY_10,,0.4190148,0.3469938,0.074279904,0.28881037,0.34743142,0.33717442,0.17710769,0.29599833,0.28585136
1989-10-30,CAMELS_UY_10,0.005913615,0.38460755,0.33092153,0.050535917,0.27110386,0.33380115,0.3269825,0.15395033,0.25916386,0.26388335
1989-10-31,CAMELS_UY_10,0.005794525,0.35196912,0.31277287,0.011532307,0.2502421,0.31908453,0.33988285,0.17000687,0.26005483,0.25194317
1989-11-01,CAMELS_UY_10,0.0042202473,0.40074086,0.33475614,0.051044226,0.27572942,0.35173106,0.35746527,0.17984295,0.26068044,0.2764988
1989-11-02,CAMELS_UY_10,0.0041276217,0.34778965,0.3393048,0.077414274,0.23364246,0.3890128,0.30475318,0.11863148,0.26742387,0.25974655
1989-11-03,CAMELS_UY_10,0.005066991,0.25526488,0.29696465,0.022714019,0.1680044,0.30769515,0.22904086,0.065169334,0.2974267,0.205285
1989-11-04,CAMELS_UY_10,0.005847454,0.36678624,0.33089042,0.013237715,0.26643193,0.26141584,0.26623452,0.17326033,0.34372342,0.25274754
1989-11-05,CAMELS_UY_10,0.005913615,0.47436798,0.3760209,0.06308687,0.3453238,0.3531524,0.33945322,0.17675483,0.31072342,0.3048604
1989-11-06,CAMELS_UY_10,0.0058606863,0.4554906,0.3486426,0.046533585,0.33760583,0.34819353,0.3505838,0.19250286,0.29551852,0.29688388
1989-11-07,CAMELS_UY_10,0.0051859617,0.47400486,0.352152,0.062814,0.33216095,0.34222102,0.34768713,0.1794039,0.27265084,0.29538685
1989-11-08,CAMELS_UY_10,0.0050537586,0.4111923,0.32419634,0.040941596,0.26898122,0.318825,0.28533483,0.12950087,0.25086904,0.25373015
1989-11-09,CAMELS_UY_10,0.004431963,0.3707757,0.2854625,-0.009672165,0.21052074,0.23385799,0.2436614,0.11324811,0.23980105,0.21095692
1989-11-10,CAMELS_UY_10,0.0040614605,0.40278566,0.29858804,0.033210516,0.23286033,0.26643288,0.24800527,0.11651194,0.22761822,0.2282516
1989-11-11,CAMELS_UY_10,0.0037837029,0.32249618,0.31099236,0.07631743,0.22057903,0.32531655,0.22099018,0.06890726,0.25120914,0.22460102
1989-11-12,CAMELS_UY_10,0.004021764,0.2289244,0.25264978,0.07873356,0.16570055,0.32202303,0.16746283,0.028479815,0.3099203,0.19423679
1989-11-13,CAMELS_UY_10,0.0040482283,0.43167186,0.32686758,0.0618881,0.2943884,0.27389705,0.23237622,0.17140424,0.33610582,0.2660749
1989-11-14,CAMELS_UY_10,0.0040482283,0.5626558,0.43232167,0.08353007,0.41275847,0.3535359,0.3774407,0.18423772,0.36661077,0.34663638
