basin,product,peak_timing,missed_peaks,mape_peak
CAMELS_UY_2,CARAVAN,0.7590361445783133,0.788235294117647,67.107544
CAMELS_UY_2,CHIRPS,0.6385542168674698,0.7176470588235294,65.34925
CAMELS_UY_2,MSWEP,0.6265060240963856,0.6588235294117647,61.73514
CAMELS_UY_3,CARAVAN,0.9125,0.7160493827160493,65.67769
CAMELS_UY_3,CHIRPS,0.725,0.5555555555555556,62.84005
CAMELS_UY_3,MSWEP,0.65,0.5432098765432098,61.3739
CAMELS_UY_5,CARAVAN,0.5375,0.6951219512195121,59.80795
CAMELS_UY_5,CHIRPS,0.6125,0.5609756097560976,59.69425
CAMELS_UY_5,MSWEP,0.425,0.5609756097560976,53.71874
CAMELS_UY_6,CARAVAN,0.725,0.7228915662650602,56.132717
CAMELS_UY_6,CHIRPS,0.5875,0.4939759036144578,54.967915
CAMELS_UY_6,MSWEP,0.5875,0.46987951807228917,53.145294
CAMELS_UY_7,CARAVAN,0.7439024390243902,0.6506024096385542,63.315098
CAMELS_UY_7,CHIRPS,0.9024390243902439,0.6746987951807228,63.061546
CAMELS_UY_7,MSWEP,0.6219512195121951,0.6144578313253012,57.761158
CAMELS_UY_8,CARAVAN,0.6024096385542169,0.7380952380952381,61.857094
CAMELS_UY_8,CHIRPS,0.891566265060241,0.6428571428571429,61.826195
CAMELS_UY_8,MSWEP,0.6867469879518072,0.6666666666666666,59.12414
CAMELS_UY_9,CARAVAN,0.7654320987654321,0.7073170731707317,58.68151
CAMELS_UY_9,CHIRPS,0.8518518518518519,0.6341463414634146,61.297237
CAMELS_UY_9,MSWEP,0.6296296296296297,0.5609756097560976,53.034378
CAMELS_UY_10,CARAVAN,0.8313253012048193,0.7976190476190477,64.70773
CAMELS_UY_10,CHIRPS,0.9879518072289156,0.6309523809523809,64.308846
CAMELS_UY_10,MSWEP,0.6144578313253012,0.5952380952380952,61.16996
CAMELS_UY_11,CARAVAN,0.525,0.725,58.39557
CAMELS_UY_11,CHIRPS,0.8875,0.65,68.3217
CAMELS_UY_11,MSWEP,0.6375,0.525,53.763454
CAMELS_UY_15,CARAVAN,0.6962025316455697,0.6428571428571429,65.33789
CAMELS_UY_15,CHIRPS,0.7215189873417721,0.6547619047619048,60.32965
CAMELS_UY_15,MSWEP,0.5443037974683544,0.6190476190476191,58.232273
CAMELS_UY_16,CARAVAN,0.5925925925925926,0.8095238095238095,64.00212
CAMELS_UY_16,CHIRPS,0.6296296296296297,0.6190476190476191,64.67776
CAMELS_UY_16,MSWEP,0.48148148148148145,0.6428571428571429,57.599728
