,Paso de las Toscas,Paso Aguiar,Paso de las Piedras,Sarandi del Yi,Paso de las Piedras (R3),Paso Mazangano,Fraile Muerto,Paso del Borracho,Durazno,Paso Baltasar,Paso de Coelho,Tacuarembo,Paso Manuel Diaz,Paso de los Mellizos,Bequelo,Paso de la Compania
1980-01-01,,,2.389,,,,,,,,,,4.507,,,
1980-01-02,,,2.109,,,,,,,,,,5.62,,,
1980-01-03,,,1.942,,,,,,,,,,4.346,,,
1980-01-04,,,1.886,,,,,,,,,,3.107,,,
1980-01-05,,,2.003,,,,,,,,,,2.608,,,
1980-01-06,,,2.986,,,,,,,,,,2.075,,,
1980-01-07,,,1.947,,,,,,,,,,2.042,,,
1980-01-08,,,1.589,,,,,,,,,,2.042,,,
1980-01-09,,,1.861,,,,,,,,,,2.068,,,
1980-01-10,,,1.886,,,,,,,,,,2.205,,,
1980-01-11,,,1.886,,,,,,,,,,2.042,,,
1980-01-12,,,1.789,,,,,,,,,,2.042,,,
1980-01-13,,,1.234,,,,,,,,,,2.019,,,
1980-01-14,,,1.251,,,,,,,,,,1.73,,,
1980-01-15,,,1.55,,,,,,,,,,1.7,,,
1980-01-16,,,1.426,,,,,,,,,,1.679,,,
1980-01-17,,,1.21,,,,,,,,,,1.419,,,
1980-01-18,,,1.195,,,,,,,,,,1.392,,,
1980-01-19,,,1.109,,,,,,,,,,1.373,,,
1980-01-20,,,0.967,,,,,,,,,,1.142,,,
1980-01-21,,,0.993,,,,,,,,,,1.117,,,
1980-01-22,,,1.182,,,,,,,,,,1.117,,,
1980-01-23,,,1.195,,,,,,,,,,1.117,,,
1980-01-24,,,1.109,,,,,,,,,,1.117,,,
1980-01-25,,,0.83,,,,,,,,,,1.11,,,
1980-01-26,,,0.658,,,,,,,,,,1.026,,,
1980-01-27,,,0.652,,,,,,,,,,1.017,,,
1980-01-28,,,0.652,,,,,,,,,,1.017,,,
1980-01-29,,,0.652,,,,,,,,,,0.949,,,
1980-01-30,,,0.652,,,,,,,,,,0.875,,,
1980-01-31,,,0.652,,,,,,,,,,0.885,,,
1980-02-01,,,0.652,,,,,,,,,,0.936,,,
1980-02-02,,,0.652,,,,,,,,,,0.875,,,
1980-02-03,,,0.652,,,,,,,,,,0.875,,,
1980-02-04,,,0.652,,,,,,,,,,0.875,,,
1980-02-05,,,0.598,,,,,,,,,,0.875,,,
1980-02-06,,,0.341,,,,,,,,,,0.875,,,
1980-02-07,,,0.63,,,,,,,,,,0.875,,,
1980-02-08,,,0.652,,,,,,,,,,0.875,,,
1980-02-09,,,0.598,,,,,,,,,,0.875,,,
1980-02-10,,,1.136,,,,,,,,,,0.892,,,
1980-02-11,,,1.201,,,,,,,,,,1.096,,,
1980-02-12,,,0.837,,,,,,,,,,1.117,,,
1980-02-13,,,0.658,,,,,,,,,,1.117,,,
1980-02-14,,,0.652,,,,,,,,,,1.117,,,
1980-02-15,,,0.695,,,,,,,,,,1.136,,,
1980-02-16,,,1.176,,,,,,,,,,1.367,,,
1980-02-17,,,1.411,,,,,,,,,,1.384,,,
1980-02-18,,,1.111,,,,,,,,,,1.211,,,
1980-02-19,,,1.162,,,,,,,,,,1.117,,,
1980-02-20,,,0.85,,,,,,,,,,1.117,,,
1980-02-21,,,0.693,,,,,,,,,,1.117,,,
1980-02-22,,,0.652,,,,,,,,,,1.27,,,
1980-02-23,,,0.652,,,,,,,,,,1.574,,,
1980-02-24,,,0.652,,,,,,,,,,1.402,,,
1980-02-25,,,1.066,,,,,,,,,,1.392,,,
1980-02-26,,,1.847,,,,,,,,,,1.392,,,
1980-02-27,,,1.886,,,,,,,,,,1.38,,,
1980-02-28,,,1.483,,,,,,,,,,1.238,,,
1980-02-29,,,1.195,,,,,,,,,,1.219,,,
1980-03-01,,,1.501,,,,,,,,,,1.174,,,
1980-03-02,,,1.234,,,,,,,,,,1.144,,,
1980-03-03,,,1.195,,,,,,,,,,1.117,,,
1980-03-04,,,1.178,,,,,,,,,,1.117,,,
1980-03-05,,,1.084,,,,,,,,,,1.136,,,
1980-03-06,,,1.795,,,,,,,,,,1.564,,,
1980-03-07,,,2.808,,,,,,,,,,3.746,,,
1980-03-08,,,3.608,,,,,,,,,,9.757,,,
1980-03-09,,,3.216,,,,,,,,,,14.647,,,
