,total_days,missing_days,missing_percentage,mean_flow,min_flow,max_flow,bad_years,train_missing_ratio,val_missing_ratio,test_missing_ratio,has_train_data,has_val_data,has_test_data
Paso de las Toscas,16039,1765,11.004426709894632,15.975712274064733,0.001,917.109,4,0.0413625304136253,0.013691128148959474,0.016549038695546362,True,True,True
Paso Aguiar,16039,2766,17.24546418105867,132.5471212235365,0.01,3334.195,7,0.029805352798053526,0.02628696604600219,0.03261134095887077,True,True,True
Paso de las Piedras,16039,1834,11.434628094020823,35.44780626539951,0.027,671.983,4,0.047749391727493914,0.022453450164293537,0.09467023606716962,True,True,True
Sarandi del Yi,16039,7974,49.71631647858346,24.112851580905144,0.0,556.297,23,0.5200729927007299,0.3099671412924425,0.1839863713798978,True,True,True
Paso de las Piedras (R3),16039,7971,49.69761207057797,8.166019955379275,0.073,170.315,22,0.0364963503649635,0.03258488499452355,1.0,True,True,False
Paso Mazangano,16039,2518,15.699233119271774,77.49752592263886,0.057,989.991,5,0.05626520681265207,0.0755750273822563,0.0686298369432952,True,True,True
Fraile Muerto,16039,3846,23.979051063033854,4.386347248421226,0.337,100.248,10,0.03953771289537713,0.018072289156626505,0.017035775127768313,True,True,True
Paso del Borracho,16039,1350,8.416983602468981,129.18440554156172,0.033,3243.471,3,0.01551094890510949,0.009583789704271631,0.010464833292771964,True,True,True
Durazno,16039,10312,64.29328511752604,153.33701187358128,0.17,4690.45,27,0.5480535279805353,0.05120481927710843,1.0,True,True,False
Paso Baltasar,16039,2725,16.98983727165035,19.902277527414753,0.001,2065.498,5,0.15723844282238442,0.0416210295728368,0.12363105378437576,True,True,True
Paso de Coelho,16039,2893,18.037284119957604,50.914571124296366,0.036,3028.813,7,0.008211678832116789,0.012048192771084338,0.06643952299829642,True,True,True
Tacuarembo,16039,11538,71.93715318910156,11.933137524994445,0.11,574.951,32,0.7618613138686131,1.0,0.18422973959600877,True,False,True
Paso Manuel Diaz,16039,1182,7.3695367541617305,41.203650131251266,0.139,1113.504,3,0.02402676399026764,0.009036144578313253,0.0,True,True,True
Paso de los Mellizos,16039,9008,56.163102437807844,26.417000568909117,0.057,397.255,23,0.31204379562043794,0.4644030668127054,0.38671209540034074,True,True,True
Bequelo,16039,5097,31.77878920132178,13.774735057576313,0.236,1140.145,15,0.2956204379562044,0.16292442497261775,0.003163786809442687,True,True,True
Paso de la Compania,16039,12234,76.27657584637446,13.389268068331143,0.046,468.843,33,0.5413625304136253,1.0,0.5096130445363836,True,False,True
