,Paso de las Toscas,Paso Aguiar,Paso de las Piedras,Paso de las Piedras (R3),Paso Mazangano,Fraile Muerto,Paso del Borracho,Paso Baltasar,Paso de Coelho,Paso Manuel Diaz,Bequelo
1999-10-01,1.035,11.285,5.86,0.749,7.513,1.475,19.9,1.352,5.305,7.611,
1999-10-02,1.032,10.202,6.758,0.749,7.48,1.475,21.646,1.831,6.881,14.782,
1999-10-03,1.032,9.486,16.086,0.749,7.045,1.475,26.424,2.077,8.587,21.373,
1999-10-04,1.032,9.196,13.198,0.749,6.601,1.475,35.387,2.794,10.236,22.721,
1999-10-05,0.981,8.52,14.157,0.749,6.358,1.475,38.693,4.484,11.566,19.187,
1999-10-06,0.878,7.784,19.299,0.729,6.156,1.475,37.419,4.065,13.411,15.847,
1999-10-07,0.961,7.393,19.258,0.481,6.48,1.475,36.914,3.229,15.292,13.673,
1999-10-08,1.291,7.669,22.349,0.454,11.063,1.501,36.968,2.943,16.538,16.76,
1999-10-09,1.434,9.507,26.556,0.454,14.17,1.95,38.957,2.785,18.709,20.97,
1999-10-10,1.539,12.645,22.062,0.454,18.943,1.704,45.253,3.042,20.886,21.859,
1999-10-11,1.581,14.133,20.598,0.454,26.339,1.475,48.34,3.505,23.288,19.964,
1999-10-12,2.034,14.655,19.6,0.454,35.637,1.501,47.967,3.535,26.421,17.937,
1999-10-13,10.982,19.771,57.29,0.454,46.563,2.033,61.393,10.868,32.027,41.749,
1999-10-14,68.302,50.456,105.777,0.454,69.678,2.736,149.013,35.85,44.431,101.525,
1999-10-15,100.894,94.501,90.743,0.454,96.609,2.081,200.194,56.256,70.201,111.536,
1999-10-16,80.51,117.234,72.764,0.454,127.946,1.654,253.804,61.839,213.504,125.085,
1999-10-17,49.78,132.904,73.621,0.454,145.766,1.545,298.288,68.144,275.766,133.837,
1999-10-18,28.574,145.569,82.395,0.441,156.702,1.53,301.96,64.06,218.973,130.046,
1999-10-19,15.793,153.859,91.351,0.28,184.659,1.48,283.64,42.933,154.618,113.885,
1999-10-20,8.537,162.825,88.94,0.263,209.296,1.475,262.193,18.46,108.671,91.29,
1999-10-21,5.348,176.969,80.453,0.263,221.169,1.452,247.188,9.175,81.287,63.341,
1999-10-22,3.668,196.267,65.928,0.263,232.933,1.373,231.753,5.412,68.701,35.725,
1999-10-23,2.532,214.308,57.273,0.263,219.935,1.299,203.173,3.736,61.657,18.737,
1999-10-24,1.947,227.686,47.914,0.263,197.297,1.206,161.818,2.961,56.574,13.478,
1999-10-25,1.659,230.846,34.521,0.263,134.702,1.147,104.055,2.53,48.878,11.736,
1999-10-26,1.465,216.775,27.012,0.263,117.152,1.056,66.569,2.252,32.007,10.872,
1999-10-27,1.357,174.634,15.433,0.263,107.339,1.005,47.441,2.002,23.977,10.155,
1999-10-28,1.277,110.013,10.013,0.263,66.641,0.962,39.884,1.793,20.941,9.53,
1999-10-29,1.202,51.97,14.836,0.263,25.379,0.957,35.357,1.701,18.63,8.855,
1999-10-30,1.107,27.078,11.019,0.263,16.447,0.957,31.148,1.692,14.161,8.059,
1999-10-31,0.987,19.119,9.386,0.263,9.547,0.957,27.905,1.602,8.989,7.228,
1999-11-01,0.916,15.022,7.902,0.263,9.817,0.957,24.981,1.485,5.078,6.41,
1999-11-02,0.854,12.689,6.833,0.263,7.677,0.957,21.872,1.346,3.388,5.878,
1999-11-03,0.851,10.894,6.137,0.263,6.457,0.957,20.042,1.208,2.816,5.338,
1999-11-04,0.85,9.524,5.3,0.263,6.283,0.957,18.39,1.111,2.578,4.938,
1999-11-05,0.808,8.201,4.949,0.263,5.413,0.957,17.608,1.03,2.432,4.597,
1999-11-06,0.758,6.891,4.421,0.263,5.284,0.957,15.939,0.924,2.341,4.323,
